Repo,Normal Total (s),Build Avg Cpu,Build Max Cpu,Build Median Cpu,Build Avg Mem,Build Max Mem,Build Median Mem,Analysis Total (s),Analysis Database (s),Analysis Query (s),Analysis Decode (s),Analysis Avg Cpu,Analysis Max Cpu,Analysis Median Cpu,Analysis Avg Mem,Analysis Max Mem,Analysis Median Mem,# Code Files,# Code Lines,# Result Processes,# Result Dataflows
akkadotnet-akkanet,157.73,104.362087567432,826.4,0,1104.31621151675,1744.461,1208.434,,1127.689,,,,,,,,,2108,304001,,
michaco-dnsclient,47.15,99.4465478841871,883.4,0,646.156526811718,776.305,679.363,255.71,155.825,91.56,0.693,230.340470193115,817.7,240.65,1877.8629461377,3805.578,1773.121,125,14779,380,44903
restsharp-restsharp,54.88,258.309354677339,876.7,274.7,1114.90471969318,1736.781,1210.48,383.82,252.754,115.525,0.718,223.128794308537,746.3,241.3,1707.58581045099,2887.113,1808.8455,223,11739,446,50114
grandnode-grandnode2,131.11,93.91069130164,867,0,1116.37953155491,1994.27,1062.113,1826.98,664.775,1141.047,1.154,138.363017961496,960.9,87.4,2249.56853132327,4050.773,2402.016,3347,188041,3229,556549
npgsql-npgsql,57.56,118.047029784433,890.8,0,671.54160473918,836.508,713.16,2819.61,231.024,2576.465,1.934,108.797905818602,755.1,122.1,3513.75801432021,3940.91,3574.508,468,74508,1864,1603946
jellyfin-jellyfin,74.17,99.621331956634,892.1,0,754.024166236448,911.59,792.941,1292.12,412.803,862.182,1.599,134.86060094802,838.7,112.7,2211.84374643689,3931.68,2193.867,1763,150700,1232,1085422
simplcommerce-simplcommerce,57.89,251.333422939068,847.9,276.7,1206.28639912954,1937.324,1277.391,390.97,275.364,98.575,0.617,201.459922475888,907.9,204.9,1691.47758591747,3542.453,1765.441,814,47833,416,8242
nats-io-nats-net,83.29,129.676740472642,997.3,66.55,846.699290398126,1179.391,878.113,604.3,457.611,127.791,0.809,208.390703099939,1030.6,211.8,1858.13198918083,3564.145,1978.633,466,39772,528,154651
fluentvalidation-fluentvalidation,32.88,170.493580375783,877.4,162.6,619.459070981211,774.836,642.9605,293.03,201.51,83.352,0.596,180.547060023667,711.8,189.2,1457.36452352389,3996.434,1464.223,216,16711,925,6083
app-vnext-polly,170.6,52.1126288042176,821.9,0,806.667036484543,983.887,833.992,1090.95,610.879,468.89,0.996,168.408900834669,695.4,96.4,2048.41696180421,3164.488,2155.371,791,67226,2807,300845
dotnet-orleans,137.04,116.234953676557,796.9,0,1153.26211745045,1721.234,1241.855,,875.264,,,,,,,,,2437,213935,,
dotnet-efcore,233.86,57.5517769052653,907.3,0,960.651494244773,1285.141,958.57,,1409.37,,,,,,,,,5006,1189488,,
piranhacms-piranhacore,74.73,108.040222623345,851.3,0,841.29971560369,1158.113,906.379,553.48,420.349,119.167,0.737,228.598262370964,773.4,245.8,1725.44669071673,3444.473,1832.375,770,111703,935,54957
alexandermenze-master-thesis-customer-portal,19.9,188.583259005146,800.9,184.8,562.924096740995,767.652,598.812,159.9,74.408,79.113,0.561,229.895455011798,803.6,241.5,1570.84029234636,2972.43,1625.615,92,2794,43,483
masstransit-masstransit,129.94,114.23077104642,882.2,0,989.950712824547,1328.883,1045.285,12374.7,1013.11,11331.825,4.506,110.138593844069,789.2,127,2374.60541779623,4703.512,2406.285,5478,309655,4877,5058128
serilog-serilog,26.8,155.462886297376,819.9,153.1,560.39326122449,755.773,562.809,239.45,115.847,117.221,0.717,192.307193217314,806.3,179.8,1964.49620401606,3562.859,1962.391,204,14848,541,29928
particular-nservicebus,94.95,275.920798280052,1227.5,309.1,1209.12735567396,1808.148,1357.293,422.87,291.754,123.782,0.865,214.187898799314,743.3,234.6,1771.56592738708,3072.918,1748.199,1407,82407,1587,148026
