# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       18.980   266995.559
       0.004        0.000       19.105   266995.559
       0.007      312.200       21.133   267079.645
       0.010        0.000       24.152   267082.625
       0.014        0.000       26.688   267117.711
       0.017      315.900       29.070   267117.672
       0.020        0.000       34.348   267122.051
       0.023      316.900       35.223   267122.168
       0.026        0.000       36.457   267122.590
       0.030        0.000       37.020   267122.590
       0.033        0.000       38.879   267123.695
       0.036      319.100       39.676   267123.797
       0.039        0.000       40.301   267125.016
       0.042        0.000       40.309   267124.453
       0.045      316.000       41.570   267125.195
       0.048        0.000       42.988   267126.332
       0.052        0.000       43.613   267126.336
       0.055        0.000       45.430   267127.402
       0.058      319.300       46.598   267128.023
       0.061        0.000       48.047   267128.984
       0.065      170.900       49.305   267209.125
       0.071      193.100       50.055   267225.129
       0.076      177.400       52.043   267594.586
       0.082      178.500       52.977   267674.609
       0.088      173.300       57.277   267682.980
       0.093      404.400       61.973   267765.305
       0.098      173.500       65.367   267927.523
       0.104      364.800       69.637   268014.148
       0.110      170.200       72.414   268022.789
       0.115      346.700       73.230   268022.828
       0.121        0.000       73.355   268022.812
       0.125      236.100       74.348   268023.137
       0.129      177.900       76.508   268024.266
       0.135      174.200       77.926   268025.129
       0.140      479.100       79.164   268025.695
       0.147      204.000       79.723   268025.723
       0.151      164.600       80.406   268025.758
       0.158      355.300       81.738   268105.777
       0.163      161.100       82.781   268105.785
       0.169      299.800       83.156   268185.793
       0.176      346.300       83.297   268185.863
       0.182      175.300       84.668   268186.324
       0.187        0.000       84.793   268186.320
       0.194      174.500       85.293   268186.320
       0.199      164.900       86.633   268186.332
       0.205      340.900       87.133   268186.340
       0.211      222.100       87.438   268186.336
       0.216        0.000       87.438   268186.336
       0.219      169.000       88.062   268186.336
       0.225      160.100       89.047   268186.336
       0.231      361.100       90.234   268268.066
       0.237      158.400       90.484   268268.074
       0.243      161.200       91.008   268268.074
       0.249        0.000       91.883   268268.074
       0.255      233.800       92.633   268268.078
       0.259      215.800       93.500   268348.094
       0.263      165.700       95.973   268348.348
