"col0","col1","col2"
"Polly.PredicateBuilder`1.HandleInner`1","Polly.PredicateBuilder`1.HandleInner`1","System.AggregateException.Flatten"
"Polly.PredicateBuilder`1.HandleInner`1","Polly.PredicateBuilder`1.Add","System.Collections.Generic.List<System.Predicate<Polly.Outcome<TResult>>>.Add"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Utils.Pipeline.BridgeComponent`1.ConvertValueTask`1","System.Threading.Tasks.ValueTask<Polly.Outcome<T>>.ConfigureAwait"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Registry.ResiliencePipelineRegistry`1.Dispose","System.Runtime.CompilerServices.TaskAwaiter.GetResult"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Registry.ResiliencePipelineRegistry`1.Dispose","System.Threading.Tasks.Task.GetAwaiter"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Registry.ResiliencePipelineRegistry`1.Dispose","System.Threading.Tasks.ValueTask.AsTask"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.ResilienceProperties.TryGetValue`1","Castle.Core.StringObjectDictionaryAdapter.TryGetValue"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.ResilienceProperties.TryGetValue`1","System.Collections.Generic.IDictionary<System.String,System.Object>.TryGetValue"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.ResilienceProperties.TryGetValue`1","System.Diagnostics.ActivityTagsCollection.TryGetValue"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.ResilienceProperties.TryGetValue`1","System.Dynamic.ExpandoObject.TryGetValue"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.ResilienceProperties.TryGetValue`1","System.Net.Http.HttpRequestOptions.TryGetValue"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.AsyncBulkheadPolicy`1.Dispose","System.GC.SuppressFinalize"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.AsyncBulkheadPolicy`1.Dispose","System.Threading.SemaphoreSlim.Dispose"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.BulkheadPolicy.Dispose","System.GC.SuppressFinalize"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.BulkheadPolicy.Dispose","System.Threading.SemaphoreSlim.Dispose"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.BulkheadPolicy`1.Dispose","System.GC.SuppressFinalize"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.BulkheadPolicy`1.Dispose","System.Threading.SemaphoreSlim.Dispose"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.AsyncBulkheadPolicy.Dispose","System.GC.SuppressFinalize"
"Polly.Utils.StrategyHelper.ExecuteCallbackSafeAsync`2","Polly.Bulkhead.AsyncBulkheadPolicy.Dispose","System.Threading.SemaphoreSlim.Dispose"
