# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.062   266995.555
       0.004        0.000       19.188   266995.555
       0.007      312.200       21.215   267079.641
       0.010        0.000       24.234   267082.621
       0.013        0.000       27.109   267117.637
       0.016        0.000       29.117   267117.664
       0.020      318.700       34.449   267122.043
       0.023        0.000       35.578   267122.422
       0.026        0.000       36.559   267122.586
       0.029      320.400       37.246   267122.586
       0.032        0.000       38.984   267123.691
       0.035        0.000       40.031   267124.609
       0.038      321.200       40.406   267125.008
       0.042        0.000       40.414   267124.445
       0.045        0.000       41.816   267125.184
       0.048        0.000       43.219   267126.324
       0.051      321.600       43.969   267127.051
       0.054      322.200       46.199   267128.012
       0.057        0.000       47.605   267128.980
       0.060        0.000       48.148   267128.992
       0.063      317.200       48.773   267208.977
       0.066        0.000       49.371   267209.121
       0.070        0.000       49.996   267209.117
       0.073      254.500       51.609   267434.539
       0.077      190.200       52.359   267674.605
       0.082        0.000       53.227   267674.605
       0.085      496.400       55.137   267676.785
       0.089        0.000       59.277   267683.391
       0.093      336.300       62.254   267844.316
       0.099      187.100       67.922   268013.633
       0.104      343.400       71.750   268022.789
       0.110      197.100       72.250   268022.785
       0.115        0.000       73.039   268022.801
       0.119      529.900       74.762   268022.902
       0.125      179.100       77.035   268025.270
       0.130      343.100       78.113   268025.277
       0.136      168.700       78.672   268025.277
       0.142      329.000       80.113   268025.840
       0.148      172.300       80.672   268105.922
       0.154      349.200       81.996   268105.918
       0.159      178.000       82.539   268105.922
       0.165      331.700       83.164   268186.020
       0.171      164.500       84.012   268266.055
       0.177      516.000       85.465   268266.492
       0.183      164.200       86.137   268266.488
       0.189      186.300       86.387   268266.488
       0.194      217.200       87.082   268266.500
       0.199      344.800       88.242   268266.711
       0.205        0.000       88.742   268266.715
       0.210      407.400       88.992   268266.711
       0.215      403.200       89.551   268266.711
       0.220      202.500       91.488   268268.426
       0.225      404.000       91.863   268268.434
       0.230      204.100       92.637   268268.438
       0.235      202.700       93.762   268268.441
       0.240      203.800       94.637   268268.434
       0.245      202.400       96.633   268348.492
       0.250      203.000       97.391   268348.492
       0.254      203.100       98.051   268348.492
       0.259      195.800      100.105   268350.879
       0.264      200.600       99.980   268349.594
       0.269      202.800      100.355   268349.598
       0.274      203.300      100.906   268349.711
       0.279      202.900      101.676   268349.703
       0.284      403.900      102.301   268349.707
       0.289      204.700      102.551   268349.703
       0.294      204.400      102.801   268349.703
       0.299        0.000      102.801   268349.703
       0.304      204.000      103.176   268349.719
       0.309      203.800      103.301   268349.715
       0.314      203.600      103.551   268349.711
       0.319      205.000      103.926   268349.715
       0.324      220.700      104.176   268349.711
       0.328      251.000      104.555   268350.023
       0.332      371.900      105.305   268430.051
       0.337      209.000      105.430   268510.066
       0.342        0.000      105.680   268510.066
       0.348      179.700      105.930   268510.059
       0.354        0.000      108.281   268513.223
       0.359      169.700      108.281   268513.227
       0.365      169.300      108.531   268577.500
       0.371      164.600      109.289   268657.516
       0.377      500.100      110.289   268657.512
       0.383        0.000      111.074   268657.637
       0.388        0.000      112.035   268658.000
       0.391      319.700      112.766   268658.105
       0.394        0.000      113.289   268658.105
       0.397        0.000      113.414   268658.102
       0.400      318.700      113.664   268658.098
       0.403        0.000      113.938   268658.102
       0.406        0.000      114.062   268658.102
       0.410        0.000      114.062   268658.098
       0.413      323.900      114.188   268658.105
       0.416      321.400      114.188   268658.102
       0.419        0.000      114.438   268658.105
       0.423        0.000      114.562   268658.098
       0.426      304.100      114.688   268658.102
       0.430        0.000      114.812   268658.102
       0.433        0.000      114.938   268658.105
       0.436      318.300      114.938   268658.105
       0.439        0.000      115.312   268658.105
       0.442        0.000      115.438   268658.105
       0.445        0.000      115.688   268658.102
       0.448      637.100      116.312   268658.098
       0.452        0.000      116.938   268658.098
       0.455        0.000      117.438   268658.102
       0.458        0.000      118.188   268658.102
       0.462      319.000      118.812   268658.102
       0.465        0.000      119.312   268658.102
       0.468        0.000      119.812   268658.105
       0.472      304.900      120.062   268658.102
       0.475        0.000      120.188   268658.105
       0.478        0.000      120.188   268658.105
       0.481      320.100      120.312   268658.102
       0.484      233.900      120.992   268658.105
       0.489        0.000      121.930   268658.410
       0.494      373.600      122.805   268658.410
       0.499      182.900      123.609   268658.527
       0.505        0.000      124.359   268658.531
       0.510      187.400      150.609   275088.102
       0.516        0.000      162.438  1069599.801
       0.521      177.600      166.113  1069613.953
       0.527      365.600      170.480  1069613.953
       0.532      337.400      172.379  1069698.035
       0.538      464.100      175.930  1069700.070
       0.545      158.700      183.863  1069710.027
       0.551      327.000      188.520  1069909.672
       0.557      348.600      194.645  1069913.145
       0.563      313.100      201.148  1069923.711
       0.569      153.600      212.715  1069939.309
       0.576      461.300      218.219  1070019.984
       0.582      316.800      221.363  1070020.246
       0.588      482.100      226.023  1070055.109
       0.595        0.000      230.191  1070091.043
       0.599      199.900      230.621  1070090.539
       0.604      527.900      233.418  1070092.367
       0.610      447.300      237.266  1070095.391
       0.617      151.700      239.414  1070096.012
       0.624      369.300      241.555  1070176.215
       0.632      142.800      244.043  1070192.617
       0.639      480.100      247.113  1070257.414
       0.645      156.000      249.586  1070275.602
       0.651      146.900      254.543  1070421.914
       0.658      497.200      257.453  1070422.133
       0.666      142.800      259.340  1070438.129
       0.673      313.800      260.914  1070647.762
       0.680      307.100      262.305  1070647.324
       0.686      305.100      263.883  1070647.441
       0.693      297.100      266.598  1070648.375
       0.699      207.300      271.336  1070890.977
       0.709      534.500      275.227  1071115.426
       0.723      300.200      290.508  1071524.641
       0.749      279.000      294.945  1071529.055
       0.757      465.300      297.484  1071673.809
       0.765      268.900      299.340  1071754.289
       0.773      302.700      305.559  1071849.945
       0.782      466.500      307.848  1071946.203
       0.789      129.400      309.453  1072090.227
       0.796      318.300      310.211  1072090.230
       0.803      160.600      312.109  1072093.086
       0.809      617.200      315.758  1072094.672
       0.815      154.000      316.758  1072094.676
       0.822      358.800      320.680  1072177.613
       0.830      144.400      323.984  1072185.531
       0.837      311.800      326.141  1072185.523
       0.844      159.300      327.695  1072185.531
       0.850      602.300      328.129  1072185.523
       0.855      203.900      328.512  1072185.527
       0.860      853.900      329.340  1072185.637
       0.864        0.000      329.840  1072185.633
       0.869      214.700      330.215  1072185.637
       0.874        0.000      334.230  1072185.637
       0.879      144.100      335.035  1072184.852
       0.886      481.800      337.141  1072185.273
       0.892      150.900      338.355  1072185.598
       0.899      306.600      339.676  1072185.797
       0.905      320.400      341.094  1072185.793
       0.912      317.800      342.469  1072185.797
       0.918      190.400      342.844  1072185.797
       0.923      309.900      346.160  1072186.125
       0.929      164.200      348.852  1072186.211
       0.936      336.900      350.977  1072186.211
       0.942      317.200      353.227  1072186.215
       0.948      304.600      357.113  1072186.910
       0.954      161.700      360.031  1072187.023
       0.961      640.300      362.281  1072187.035
       0.967      133.500      364.223  1072187.730
       0.974      447.700      366.223  1072187.734
       0.981      442.400      368.223  1072187.734
       0.988      151.300      370.223  1072187.793
       0.994      154.600      372.234  1072188.496
       1.001      478.100      374.164  1072188.562
       1.007      169.000      375.664  1072188.562
       1.013      301.200      377.664  1072188.562
       1.020        0.000      379.414  1072188.562
       1.026      359.900      381.289  1072188.621
       1.035      291.800      382.789  1072188.625
       1.041      313.700      383.789  1072188.617
       1.047      650.500      384.664  1072188.621
       1.054      153.800      385.414  1072188.629
       1.060      364.600      386.562  1072188.625
       1.068      337.300      387.312  1072188.633
       1.077      242.100      388.562  1072188.625
       1.090      464.400      389.980  1072188.641
       1.107      263.100      391.371  1072188.648
       1.115      296.300      392.871  1072188.645
       1.121      152.800      393.539  1072188.656
       1.128      299.700      394.789  1072188.656
       1.135      294.600      396.180  1072188.668
       1.141      305.400      397.430  1072188.680
       1.148      457.100      399.445  1072188.691
       1.154      148.700      399.945  1072188.699
       1.161      321.700      401.086  1072188.711
       1.167      449.000      407.320  1072188.715
       1.174      146.900      406.918  1072187.930
       1.181      462.900      407.543  1072187.941
       1.187      155.800      411.855  1072187.930
       1.194      315.700      411.457  1072187.156
       1.200      539.500      412.590  1072187.168
       1.206        0.000      413.215  1072187.164
       1.211      407.700      413.340  1072187.160
       1.215      182.000      413.590  1072187.168
       1.221      375.000      414.090  1072187.168
       1.229      217.700      419.145  1072187.797
       1.243      247.700      420.191  1072267.816
       1.256      412.800      421.133  1072269.234
       1.262      425.200      421.555  1072429.262
       1.272        0.000      423.348  1072431.316
       1.278      487.500      423.988  1072431.957
       1.284      157.700      425.328  1072434.414
       1.291      340.000      426.262  1072434.414
       1.297      165.100      426.695  1072434.414
       1.303      313.400      427.129  1072434.410
       1.309      154.900      427.379  1072434.418
       1.316      266.200      427.754  1072594.453
       1.323      449.300      428.395  1072594.547
       1.330      152.300      430.770  1072595.961
       1.336      427.900      434.297  1072598.656
       1.343      141.500      435.547  1072598.656
       1.350      390.100      438.945  1072601.113
       1.358      159.200      441.430  1072601.109
       1.364      739.900      441.941  1072601.484
       1.371        0.000      442.066  1072601.492
       1.377      282.900      442.066  1072601.488
       1.381      288.100      442.441  1072601.488
       1.384        0.000      443.316  1072601.496
       1.388      284.700      444.316  1072601.492
       1.391      288.400      445.316  1072601.492
       1.395      275.600      445.941  1072601.496
       1.398        0.000      446.691  1072601.492
       1.402      580.700      448.500  1072601.496
       1.405        0.000      449.828  1072601.598
       1.409      258.000      450.215  1072601.984
       1.413      159.400      452.555  1072604.664
       1.419      210.900      453.070  1072604.664
       1.424        0.000      454.660  1072607.117
       1.427        0.000      455.219  1072607.117
       1.432      227.300      455.402  1072607.117
       1.436        0.000      455.402  1072607.117
       1.439        0.000      455.402  1072607.117
       1.443      543.100      455.902  1072607.117
       1.447        0.000      457.527  1072607.117
       1.450        0.000      458.902  1072607.117
       1.454      290.100      459.902  1072607.117
       1.457        0.000      461.777  1072607.117
       1.461        0.000      462.664  1072607.512
       1.465      408.400      462.789  1072607.500
       1.469        0.000      462.789  1072607.508
       1.475      286.800      463.039  1072607.512
       1.482      154.000      463.309  1072607.473
       1.489      461.600      463.969  1072607.438
       1.495        0.000      464.219  1072607.379
       1.500      368.800      464.594  1072607.398
       1.511      461.100      322.898   803956.059
       1.517        0.000      331.035   803956.070
       1.523      391.000      331.285   803956.105
       1.528        0.000      331.285   803956.105
       1.533        0.000      331.285   803956.105
       1.537        0.000      340.414   806162.949
       1.540        0.000      344.965  1070941.234
       1.544        0.000      345.215  1070941.234
       1.547      285.700      345.340  1070941.234
       1.551        0.000      348.496  1071025.426
       1.554        0.000      351.621  1071028.547
       1.558      287.100      355.129  1071063.344
       1.561        0.000      360.410  1071067.707
       1.565        0.000      361.664  1071068.156
       1.568      284.100      362.773  1071068.262
       1.572        0.000      363.582  1071068.262
       1.575        0.000      365.445  1071069.367
       1.579      285.200      366.492  1071070.691
       1.582        0.000      366.500  1071070.129
       1.586        0.000      367.762  1071070.871
       1.589      288.000      369.430  1071072.008
       1.593        0.000      370.875  1071072.926
       1.596        0.000      372.539  1071073.695
       1.600        0.000      373.910  1071074.664
       1.603      286.800      374.590  1071074.660
       1.607      287.400      375.398  1071154.816
       1.610        0.000      375.953  1071154.801
       1.614      215.300      378.066  1071620.281
       1.619      155.000      379.621  1071620.285
       1.625      335.500      386.238  1071709.098
       1.631      334.800      390.844  1071713.004
       1.637      154.500      393.883  1071879.430
       1.643      462.400      398.328  1071968.465
       1.650      159.700      399.543  1071968.484
       1.656      374.100      401.219  1071968.566
       1.662      177.400      403.812  1071969.566
       1.667      526.000      405.625  1071970.797
       1.673      307.200      406.863  1071970.805
       1.679      165.400      407.375  1071971.414
       1.685      187.700      408.645  1072051.445
       1.691      480.400      409.703  1072051.445
       1.697      171.000      410.328  1072051.445
       1.703      167.500      411.387  1072051.535
       1.709      334.100      412.613  1072132.016
       1.715      296.100      412.949  1072212.035
       1.722      160.100      414.027  1072212.020
       1.728      313.600      414.852  1072212.016
       1.734      317.600      415.406  1072212.031
       1.740      212.800      415.656  1072212.031
       1.745      215.500      417.062  1072212.234
       1.750        0.000      417.312  1072212.238
       1.754      458.500      417.562  1072212.238
       1.760      302.100      419.816  1072213.949
       1.767      294.000      420.574  1072213.957
       1.774      292.900      421.465  1072213.965
       1.781      179.600      422.715  1072213.965
       1.786      164.900      423.590  1072213.957
       1.792      159.300      425.387  1072293.977
       1.798      154.700      426.156  1072294.016
       1.805      304.600      426.656  1072294.016
       1.811      156.600      427.066  1072294.020
       1.818      307.700      428.898  1072296.410
       1.824      153.300      429.086  1072295.121
       1.831      162.800      429.465  1072295.438
       1.837      370.900      429.715  1072295.434
       1.842      181.500      430.090  1072295.438
       1.848      150.800      430.887  1072295.543
       1.855        0.000      431.262  1072295.539
       1.860        0.000      431.695  1072295.543
       1.864      287.800      431.820  1072295.543
       1.867        0.000      431.945  1072295.547
       1.871        0.000      432.070  1072295.543
       1.874      285.000      432.070  1072295.543
       1.878      190.000      432.320  1072295.555
       1.883      190.300      432.820  1072295.559
       1.888      276.500      432.820  1072295.559
       1.892        0.000      433.195  1072295.547
       1.896      188.200      433.578  1072295.555
       1.901        0.000      433.828  1072295.547
       1.904      287.300      434.078  1072375.578
       1.908        0.000      434.203  1072455.590
       1.913      239.300      434.328  1072455.586
       1.917        0.000      435.609  1072458.047
       1.920      233.000      437.117  1072458.750
       1.925      249.700      439.461  1072461.207
       1.929        0.000      439.730  1072461.215
       1.932      284.800      439.980  1072461.211
       1.936        0.000      439.980  1072461.211
       1.939        0.000      440.105  1072461.207
       1.943      172.200      440.605  1072525.477
       1.949      153.200      441.105  1072605.492
       1.955      161.900      441.855  1072605.492
       1.961        0.000      442.535  1072605.625
       1.968      306.900      443.816  1072606.090
       1.975        0.000      444.613  1072606.090
       1.981      260.000      444.863  1072606.090
       1.985        0.000      444.988  1072606.086
       1.989        0.000      445.125  1072606.090
       1.992      285.700      445.250  1072606.086
       1.996        0.000      445.375  1072606.090
       1.999        0.000      445.500  1072606.094
       2.003      287.600      445.500  1072606.086
       2.006        0.000      445.750  1072606.086
       2.010        0.000      445.750  1072606.086
       2.013      285.300      445.875  1072606.086
       2.017        0.000      446.000  1072606.090
       2.020        0.000      446.125  1072606.090
       2.024      290.600      446.375  1072606.090
       2.027        0.000      446.750  1072606.086
       2.030        0.000      447.375  1072606.086
       2.034      288.100      448.000  1072606.090
       2.037        0.000      448.625  1072606.090
       2.041        0.000      449.375  1072606.082
       2.044      289.800      449.875  1072606.086
       2.048        0.000      450.375  1072606.094
       2.051      240.000      450.625  1072606.090
       2.055      280.900      450.875  1072606.090
       2.059        0.000      450.875  1072606.094
       2.065      198.100      451.500  1072606.082
       2.070        0.000      451.750  1072606.082
       2.074        0.000      452.000  1072606.082
       2.078      284.600      452.785  1072606.387
       2.081        0.000      453.199  1072606.391
       2.085        0.000      453.324  1072606.391
       2.088      288.000      453.949  1072606.395
       2.092        0.000      455.074  1072606.402
       2.095        0.000      455.699  1072606.402
       2.099      287.200      455.699  1072606.402
       2.102        0.000      455.699  1072606.402
       2.106        0.000      459.734  1072606.398
       2.109      282.500      459.734  1072606.398
       2.113        0.000      459.734  1072606.398
       2.116      286.200      459.734  1072606.395
       2.120        0.000      459.734  1072606.395
       2.124        0.000      459.734  1072606.395
       2.127      266.200      459.734  1072606.395
       2.131        0.000      459.734  1072606.457
       2.135        0.000      459.734  1072606.457
       2.138      564.700      459.734  1072606.461
       2.142        0.000      459.734  1072606.465
       2.145        0.000      459.859  1072606.461
       2.149      265.400      459.984  1072606.461
       2.153        0.000      459.984  1072606.461
       2.156        0.000      460.109  1072606.461
       2.160      277.200      460.109  1072606.461
       2.163        0.000      460.234  1072606.461
       2.167        0.000      460.234  1072606.461
       2.170      270.200      460.234  1072606.461
       2.174        0.000      460.359  1072606.461
       2.179        0.000      460.734  1072606.461
       2.183      265.900      460.984  1072606.461
       2.187        0.000      461.359  1072606.461
       2.190      283.300      461.859  1072606.461
       2.194      289.800      462.609  1072606.461
       2.197        0.000      463.234  1072606.461
       2.201        0.000      463.984  1072606.461
       2.204      281.500      464.359  1072606.461
       2.208        0.000      464.484  1072606.461
       2.211        0.000      464.484  1072606.461
       2.215        0.000      464.484  1072606.461
       2.218      285.900      464.484  1072606.461
       2.222        0.000      464.484  1072606.461
       2.225      286.300      468.555  1072606.461
       2.229        0.000      467.824  1072605.676
       2.233      147.600      467.949  1072605.676
       2.240        0.000      468.074  1072605.680
       2.247      168.300      468.074  1072605.680
       2.252        0.000      468.074  1072605.680
       2.256      269.000      468.074  1072605.680
       2.260        0.000      468.074  1072605.676
       2.263      238.600      468.074  1072605.676
       2.267      287.100      468.074  1072605.676
       2.271        0.000      468.074  1072605.676
       2.274        0.000      468.074  1072605.676
       2.278      273.200      468.074  1072605.676
       2.282        0.000      468.074  1072605.676
