"col0","col1","col2"
"DnsClient.DnsDatagramReader.ReadUInt16","DnsClient.DnsDatagramReader.ReadUInt16","System.BitConverter.ToUInt16"
"DnsClient.DnsDatagramReader.ReadUInt16","DnsClient.DnsDatagramReader.ReadUInt16","System.String.Format"
"DnsClient.DnsDatagramReader.ReadUInt16","DnsClient.DnsDatagramReader.ReadUInt16","System.ArraySegment<System.Byte>.ToArray"
"DnsClient.DnsDatagramReader.ReadUInt16","DnsClient.DnsResponseParseException.FormatData","System.Convert.ToBase64String"
"DnsClient.DnsDatagramReader.ReadUInt16","DnsClient.DnsResponseParseException.FormatData","System.Linq.Enumerable.ToArray<Byte>"
"DnsClient.DnsDatagramReader.ReadUInt16","DnsClient.DnsResponseParseException.FormatData","System.Linq.Enumerable.Take<Byte>"
"DnsClient.DnsDatagramWriter.WriteStringWithLengthPrefix","DnsClient.DnsDatagramWriter.WriteStringWithLengthPrefix","System.Text.Encoding.GetBytes"
"DnsClient.DnsDatagramWriter.WriteStringWithLengthPrefix","DnsClient.DnsDatagramWriter.WriteBytes","System.Buffer.BlockCopy"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsQueryResponse.Equals","System.String.Equals"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsQueryResponse.Equals","System.Linq.Enumerable.Concat<DnsResourceRecord>"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsQueryResponse.Equals","System.String.Join<DnsQuestion>"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsQueryResponse.Equals","System.String.Join<DnsResourceRecord>"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsResponseCodeText.GetErrorText","System.Collections.Generic.Dictionary<DnsClient.DnsResponseCode,System.String>.TryGetValue"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsResponseHeader.ToString","System.String.IsNullOrEmpty"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsResponseHeader.ToString","System.String.Join"
"DnsClient.DnsQueryResponse.Equals","DnsClient.DnsResponseHeader.ToString","System.Linq.Enumerable.Where<String>"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsQueryResponse.GetHashCode","System.String.GetHashCode"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsQueryResponse.GetHashCode","System.Linq.Enumerable.Concat<DnsResourceRecord>"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsQueryResponse.GetHashCode","System.String.Join<DnsQuestion>"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsQueryResponse.GetHashCode","System.String.Join<DnsResourceRecord>"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsResponseCodeText.GetErrorText","System.Collections.Generic.Dictionary<DnsClient.DnsResponseCode,System.String>.TryGetValue"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsResponseHeader.ToString","System.String.IsNullOrEmpty"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsResponseHeader.ToString","System.String.Join"
"DnsClient.DnsQueryResponse.GetHashCode","DnsClient.DnsResponseHeader.ToString","System.Linq.Enumerable.Where<String>"
"DnsClient.DnsString.GetHashCode","DnsClient.DnsString.GetHashCode","System.String.GetHashCode"
"DnsClient.Internal.Base32Hex.FromBase32HexString","DnsClient.Internal.Base32Hex.FromBase32HexString","System.String.TrimEnd"
"DnsClient.Internal.Base32Hex.FromBase32HexString","DnsClient.Internal.Base32Hex.FromBase32HexString","System.Linq.Enumerable.Select<Char,Int32>"
"DnsClient.Internal.PooledBytes.Extend","DnsClient.Internal.PooledBytes.Extend","System.Buffer.BlockCopy"
"DnsClient.Internal.PooledBytes.Extend","DnsClient.Internal.PooledBytes.Extend","System.Buffers.ArrayPool<System.Byte>.Rent"
"DnsClient.Internal.PooledBytes.Extend","DnsClient.Internal.PooledBytes.Extend","System.Buffers.ArrayPool<System.Byte>.Return"
"DnsClient.Internal.DefaultObjectPool`1.Get","DnsClient.Internal.DefaultObjectPool`1.Get","System.Threading.Interlocked.CompareExchange<T>"
"DnsClient.Internal.DefaultObjectPool`1.Return","DnsClient.Internal.DefaultObjectPool`1.Return","System.Threading.Interlocked.CompareExchange<T>"
"DnsClient.Internal.DefaultObjectPool`1.Return","DnsClient.Internal.StringBuilderPooledObjectPolicy.Return","System.Text.StringBuilder.Clear"
"DnsClient.DisposableIntPtr.Dispose","DnsClient.DisposableIntPtr.Dispose","System.Runtime.InteropServices.Marshal.FreeHGlobal"
"System.IO.RowConfigReader.GetNextValueAsInt32","System.IO.RowConfigReader.GetNextValueAsInt32","System.Int32.TryParse"
"System.IO.RowConfigReader.GetNextValueAsInt32","System.IO.RowConfigReader.TryGetNextValue","System.Diagnostics.Debug.Assert"
"System.IO.RowConfigReader.GetNextValueAsInt32","System.IO.RowConfigReader.TryGetNextValue","System.String.LastIndexOf"
"System.IO.RowConfigReader.GetNextValueAsInt32","System.IO.RowConfigReader.TryFindNextKeyOccurrence","System.String.IndexOf"
"System.IO.RowConfigReader.GetNextValueAsInt32","System.IO.RowConfigReader.TryFindNextKeyOccurrence","System.String.Substring"
"DnsClient.Linux.StringParsingHelpers.ParseDnsSuffixFromResolvConfFile","DnsClient.Linux.StringParsingHelpers.ParseDnsSuffixFromResolvConfFile","System.IO.File.ReadAllText"
"DnsClient.Linux.StringParsingHelpers.ParseDnsSuffixFromResolvConfFile","System.IO.RowConfigReader.TryGetNextValue","System.Diagnostics.Debug.Assert"
"DnsClient.Linux.StringParsingHelpers.ParseDnsSuffixFromResolvConfFile","System.IO.RowConfigReader.TryGetNextValue","System.String.LastIndexOf"
"DnsClient.Linux.StringParsingHelpers.ParseDnsSuffixFromResolvConfFile","System.IO.RowConfigReader.TryFindNextKeyOccurrence","System.String.IndexOf"
"DnsClient.Linux.StringParsingHelpers.ParseDnsSuffixFromResolvConfFile","System.IO.RowConfigReader.TryFindNextKeyOccurrence","System.String.Substring"
"DnsClient.NameServer.GetHashCode","DnsClient.NameServer.GetHashCode","System.Collections.Generic.EqualityComparer<System.Net.IPEndPoint>.GetHashCode"
"DnsClient.Protocol.NSecRecord.WriteBitmap","DnsClient.Protocol.NSecRecord.WriteBitmap","System.Array.Sort<UInt16>"
"DnsClient.LookupClient.QueryReverse","DnsClient.DnsDatagramReader.ReadString","System.Text.Encoding.GetString"
"DnsClient.LookupClient.QueryReverse","DnsClient.DnsDatagramReader.ReadString","System.String.Format"
"DnsClient.LookupClient.QueryReverse","DnsClient.DnsDatagramReader.ReadString","System.Text.ASCIIEncoding.GetString"
"DnsClient.LookupClient.QueryReverse","DnsClient.DnsDatagramReader.ReadString","System.Text.UnicodeEncoding.GetString"
"DnsClient.LookupClient.QueryReverse","DnsClient.DnsDatagramReader.ReadString","System.Text.UTF32Encoding.GetString"
"DnsClient.LookupClient.QueryReverse","DnsClient.DnsDatagramReader.ReadString","System.Text.UTF7Encoding.GetString"
