# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.020   266995.559
       0.004      279.700       19.145   266995.559
       0.007        0.000       21.660   267079.746
       0.011        0.000       25.168   267082.871
       0.014        0.000       28.676   267117.672
       0.017        0.000       31.340   267121.684
       0.021      308.500       34.891   267122.055
       0.024        0.000       36.074   267122.512
       0.027        0.000       36.938   267122.594
       0.031      305.600       38.242   267123.699
       0.034        0.000       39.551   267123.699
       0.037        0.000       40.348   267125.020
       0.040      309.200       40.359   267124.457
       0.044        0.000       41.496   267125.199
       0.047      179.000       43.289   267126.336
       0.052      172.400       46.344   267128.023
       0.058        0.000       48.098   267128.988
       0.064      171.600       49.375   267209.129
       0.069        0.000       50.375   267353.418
       0.074      200.900       52.105   267674.609
       0.079      187.800       53.289   267674.613
       0.085      495.400       57.988   267763.422
       0.091      175.500       64.098   267766.668
       0.096      346.400       68.512   267853.727
       0.102      200.200       69.980   268015.121
       0.107      156.600       72.316   268022.816
       0.113      336.400       73.324   268022.898
       0.119      317.400       75.422   268024.137
       0.126      165.400       76.102   268024.410
       0.132      314.400       78.129   268025.836
       0.138      159.400       78.980   268025.855
       0.144      180.900       79.414   268025.898
       0.150      480.500       80.320   268025.891
       0.156      163.400       81.379   268105.914
       0.162      171.700       81.879   268185.938
       0.168      237.400       82.422   268265.949
       0.172      222.200       82.672   268265.934
       0.177      203.400       83.414   268266.020
       0.182      164.200       85.348   268266.484
       0.188      336.200       85.758   268266.484
       0.194      352.500       86.570   268266.496
       0.199      167.800       86.820   268266.496
       0.205        0.000       87.070   268266.500
       0.209      251.300       87.195   268266.496
       0.213      174.000       88.262   268266.500
       0.218      311.500       89.492   268266.703
       0.225      311.600       90.938   268268.422
       0.231      313.200       91.828   268268.426
       0.238      390.300       92.828   268268.430
       0.243      297.300       93.328   268268.430
       0.246        0.000       93.703   268268.426
       0.249      299.700       94.078   268348.441
       0.253        0.000       95.500   268348.445
       0.256      292.700       96.012   268348.484
       0.259        0.000       96.395   268348.484
       0.263      305.900       96.645   268348.484
       0.266      306.300       97.020   268348.484
       0.269        0.000       97.305   268348.488
       0.272      303.200       98.750   268349.586
       0.276        0.000       99.059   268350.871
       0.279      244.500       99.598   268349.586
       0.283      305.400       99.723   268349.586
       0.287        0.000       99.723   268349.590
       0.290      608.900       99.723   268349.590
       0.293        0.000       99.973   268349.590
       0.296      304.600       99.973   268349.590
       0.300      308.000      100.098   268349.590
       0.303        0.000      100.473   268349.691
       0.306      311.000      100.996   268349.691
       0.309        0.000      101.371   268349.695
       0.313      303.800      101.680   268349.695
       0.316        0.000      101.805   268349.695
       0.319      306.500      101.930   268349.699
       0.323      311.100      102.055   268349.691
       0.326        0.000      102.180   268349.699
       0.329      307.000      102.430   268349.691
       0.332        0.000      102.430   268349.695
       0.336      607.400      102.555   268349.699
       0.339      303.600      102.680   268349.699
       0.342        0.000      102.680   268349.711
       0.346      385.200      103.559   268350.020
       0.351      171.700      103.684   268350.020
