"col0","col1","col2"
"NServiceBus.Saga.ReplyToOriginator","NServiceBus.Saga.ReplyToOriginator","System.String.IsNullOrEmpty"
"NServiceBus.Saga.ReplyToOriginator","NServiceBus.Saga.ReplyToOriginator","System.Collections.Generic.Dictionary<System.String,System.String>.Add"
"NServiceBus.Saga.ReplyToOriginator","NServiceBus.Saga.ReplyToOriginator","System.Linq.Enumerable.Empty<KeyValuePair<String,String>>"
"NServiceBus.Saga.ReplyToOriginator","NServiceBus.Extensibility.ContextBag.Set`1","System.ArgumentException.ThrowIfNullOrWhiteSpace"
"NServiceBus.Saga.ReplyToOriginator","NServiceBus.RoutingOptionExtensions.SetDestination","System.ArgumentNullException.ThrowIfNull"
"NServiceBus.Endpoint.Start","NServiceBus.Endpoint.Create","Microsoft.Extensions.DependencyInjection.ServiceCollectionContainerBuilderExtensions.BuildServiceProvider"
"NServiceBus.Endpoint.Start","NServiceBus.Endpoint.Start","System.Threading.Tasks.Task<NServiceBus.IStartableEndpoint>.ConfigureAwait"
"NServiceBus.Endpoint.Start","FastExpressionCompiler.Tools.GetFuncOrActionType","System.Type.MakeGenericType"
"NServiceBus.Endpoint.Start","FastExpressionCompiler.Tools.GetFuncOrActionType","System.Array.Copy"
"NServiceBus.Endpoint.Start","FastExpressionCompiler.Tools.GetFuncOrActionType","System.Reflection.Emit.GenericTypeParameterBuilder.MakeGenericType"
"NServiceBus.Endpoint.Start","FastExpressionCompiler.Tools.GetFuncOrActionType","System.Reflection.Emit.TypeBuilder.MakeGenericType"
"NServiceBus.Endpoint.Start","NServiceBus.CriticalError.RaiseForEndpoint","System.Threading.Tasks.Task.ConfigureAwait"
"NServiceBus.Endpoint.Start","NServiceBus.CriticalError.RaiseForEndpoint","System.ArgumentNullException.ThrowIfNull"
"NServiceBus.Endpoint.Start","NServiceBus.CriticalError.RaiseForEndpoint","System.ArgumentException.ThrowIfNullOrWhiteSpace"
"NServiceBus.Endpoint.Start","NServiceBus.TracingExtensions.Invoke`1","System.Threading.Tasks.Task.ConfigureAwait"
"NServiceBus.Endpoint.Start","NServiceBus.Features.AutoSubscribe+ApplySubscriptions.OnStart","System.String.Join<Type>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.String.Join"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.Contains<Type>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.Select<Type,String>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Runtime.CompilerServices.RuntimeHelpers.GetUninitializedObject"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.ToList<IGrouping<String,CorrelationSagaToMessageMap>>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.Single<IGrouping<String,CorrelationSagaToMessageMap>>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.Single<Type>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.OfType<CorrelationSagaToMessageMap>"
"NServiceBus.Endpoint.Start","NServiceBus.Sagas.SagaMetadata.Create","System.Linq.Enumerable.GroupBy<CorrelationSagaToMessageMap,String>"
