"col0","col1","col2"
"Piranha.App.Init","Piranha.Cache.DistributedCache.GetAsync`1","Microsoft.Extensions.Caching.Distributed.DistributedCacheExtensions.GetStringAsync"
"Piranha.App.Init","Piranha.Cache.DistributedCache.GetAsync`1","System.String.IsNullOrEmpty"
"Piranha.App.Init","Piranha.Cache.DistributedCache.GetAsync`1","System.Threading.Tasks.Task<System.String>.ConfigureAwait"
"Piranha.App.Init","Piranha.Cache.DistributedCache.GetAsync`1","Newtonsoft.Json.JsonConvert.DeserializeObject<T>"
"Piranha.App.Init","Piranha.Cache.DistributedCache.SetAsync`1","Microsoft.Extensions.Caching.Distributed.DistributedCacheExtensions.SetStringAsync"
"Piranha.App.Init","Piranha.Cache.DistributedCache.SetAsync`1","Newtonsoft.Json.JsonConvert.SerializeObject"
"Piranha.App.Init","Piranha.Cache.DistributedCache.SetAsync`1","System.Threading.Tasks.Task.ConfigureAwait"
"Piranha.App.Init","Piranha.App.InitApp","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.ContentType>>.GetAwaiter"
"Piranha.App.Init","Piranha.App.InitApp","System.Runtime.CompilerServices.TaskAwaiter<System.Collections.Generic.IEnumerable<Piranha.Models.ContentType>>.GetResult"
"Piranha.App.Init","Piranha.App.InitApp","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.PageType>>.GetAwaiter"
"Piranha.App.Init","Piranha.App.InitApp","System.Runtime.CompilerServices.TaskAwaiter<System.Collections.Generic.IEnumerable<Piranha.Models.PageType>>.GetResult"
"Piranha.App.Init","Piranha.App.InitApp","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.PostType>>.GetAwaiter"
"Piranha.App.Init","Piranha.App.InitApp","System.Runtime.CompilerServices.TaskAwaiter<System.Collections.Generic.IEnumerable<Piranha.Models.PostType>>.GetResult"
"Piranha.App.Init","Piranha.App.InitApp","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.SiteType>>.GetAwaiter"
"Piranha.App.Init","Piranha.App.InitApp","System.Runtime.CompilerServices.TaskAwaiter<System.Collections.Generic.IEnumerable<Piranha.Models.SiteType>>.GetResult"
"Piranha.App.Init","Piranha.App.InitApp","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.ContentGroup>>.GetAwaiter"
"Piranha.App.Init","Piranha.App.InitApp","System.Runtime.CompilerServices.TaskAwaiter<System.Collections.Generic.IEnumerable<Piranha.Models.ContentGroup>>.GetResult"
"Piranha.App.Init","Piranha.Cache.MemoryCache.GetAsync`1","Microsoft.Extensions.Caching.Memory.CacheExtensions.TryGetValue<T>"
"Piranha.App.Init","Piranha.Cache.MemoryCache.GetAsync`1","System.Threading.Tasks.Task.FromResult<T>"
"Piranha.App.Init","Piranha.Cache.MemoryCache.SetAsync`1","Microsoft.Extensions.Caching.Memory.CacheExtensions.Set<T>"
"Piranha.App.Init","Piranha.Services.ContentGroupService.GetGroups","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.ContentGroup>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Services.ContentTypeService.GetTypes","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.ContentType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Services.PageTypeService.GetTypes","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.PageType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Services.PostTypeService.GetTypes","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.PostType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Services.SiteTypeService.GetTypes","System.Threading.Tasks.Task<System.Collections.Generic.IEnumerable<Piranha.Models.SiteType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Manager.Module.Init","System.Collections.Generic.ICollection<Piranha.Security.PermissionItem>.Add"
"Piranha.App.Init","Piranha.Manager.Module.Init","System.Collections.Generic.Dictionary<System.String,System.Collections.Generic.IList<Piranha.Security.PermissionItem>>.TryGetValue"
"Piranha.App.Init","Piranha.WebApi.Module.Init","System.Collections.Generic.ICollection<Piranha.Security.PermissionItem>.Add"
"Piranha.App.Init","Piranha.WebApi.Module.Init","System.Collections.Generic.Dictionary<System.String,System.Collections.Generic.IList<Piranha.Security.PermissionItem>>.TryGetValue"
"Piranha.App.Init","Piranha.Repositories.ContentGroupRepository.GetAllAsync","System.Collections.Generic.List<Piranha.Models.ContentGroup>.Add"
"Piranha.App.Init","Piranha.Repositories.ContentGroupRepository.GetAllAsync","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.AsNoTracking<ContentGroup>"
"Piranha.App.Init","Piranha.Repositories.ContentGroupRepository.GetAllAsync","System.Linq.Queryable.OrderBy<ContentGroup,String>"
"Piranha.App.Init","Piranha.Repositories.ContentGroupRepository.GetAllAsync","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.ToListAsync<ContentGroup>"
"Piranha.App.Init","Piranha.Repositories.ContentGroupRepository.GetAllAsync","System.Threading.Tasks.Task<System.Collections.Generic.List<Piranha.Data.ContentGroup>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Repositories.ContentGroupRepository.GetAllAsync","AutoMapper.IMapperBase.Map<ContentGroup,ContentGroup>"
"Piranha.App.Init","Piranha.Repositories.ContentTypeRepository.GetAll","System.Collections.Generic.List<Piranha.Models.ContentType>.Add"
"Piranha.App.Init","Piranha.Repositories.ContentTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.AsNoTracking<ContentType>"
"Piranha.App.Init","Piranha.Repositories.ContentTypeRepository.GetAll","System.Linq.Queryable.OrderBy<ContentType,String>"
"Piranha.App.Init","Piranha.Repositories.ContentTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.ToListAsync<ContentType>"
"Piranha.App.Init","Piranha.Repositories.ContentTypeRepository.GetAll","System.Threading.Tasks.Task<System.Collections.Generic.List<Piranha.Data.ContentType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Repositories.ContentTypeRepository.GetAll","Newtonsoft.Json.JsonConvert.DeserializeObject<ContentType>"
"Piranha.App.Init","Piranha.Repositories.PageTypeRepository.GetAll","System.Collections.Generic.List<Piranha.Models.PageType>.Add"
"Piranha.App.Init","Piranha.Repositories.PageTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.AsNoTracking<PageType>"
"Piranha.App.Init","Piranha.Repositories.PageTypeRepository.GetAll","System.Linq.Queryable.OrderBy<PageType,String>"
"Piranha.App.Init","Piranha.Repositories.PageTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.ToListAsync<PageType>"
"Piranha.App.Init","Piranha.Repositories.PageTypeRepository.GetAll","System.Threading.Tasks.Task<System.Collections.Generic.List<Piranha.Data.PageType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Repositories.PageTypeRepository.GetAll","Newtonsoft.Json.JsonConvert.DeserializeObject<PageType>"
"Piranha.App.Init","Piranha.Repositories.PostTypeRepository.GetAll","System.Collections.Generic.List<Piranha.Models.PostType>.Add"
"Piranha.App.Init","Piranha.Repositories.PostTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.AsNoTracking<PostType>"
"Piranha.App.Init","Piranha.Repositories.PostTypeRepository.GetAll","System.Linq.Queryable.OrderBy<PostType,String>"
"Piranha.App.Init","Piranha.Repositories.PostTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.ToListAsync<PostType>"
"Piranha.App.Init","Piranha.Repositories.PostTypeRepository.GetAll","System.Threading.Tasks.Task<System.Collections.Generic.List<Piranha.Data.PostType>>.ConfigureAwait"
"Piranha.App.Init","Piranha.Repositories.PostTypeRepository.GetAll","Newtonsoft.Json.JsonConvert.DeserializeObject<PostType>"
"Piranha.App.Init","Piranha.Repositories.SiteTypeRepository.GetAll","System.Collections.Generic.List<Piranha.Models.SiteType>.Add"
"Piranha.App.Init","Piranha.Repositories.SiteTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.AsNoTracking<SiteType>"
"Piranha.App.Init","Piranha.Repositories.SiteTypeRepository.GetAll","System.Linq.Queryable.OrderBy<SiteType,String>"
"Piranha.App.Init","Piranha.Repositories.SiteTypeRepository.GetAll","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.ToListAsync<SiteType>"
