"col0","col1","col2"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","System.Security.Cryptography.CryptoConfig.MapNameToOID"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","System.Security.Cryptography.RSA.FromXmlString"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","System.Security.Cryptography.SHA1.Create"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","System.Security.Cryptography.SHA1.HashData"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","System.Security.Cryptography.RSACryptoServiceProvider.SignHash"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.Extensions.OAuthExtensions.HashWith","System.Text.Encoding.GetBytes"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.Extensions.OAuthExtensions.HashWith","System.Convert.ToBase64String"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.Extensions.OAuthExtensions.HashWith","System.Security.Cryptography.HashAlgorithm.ComputeHash"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.UrlEncodeRelaxed","System.Text.StringBuilder.Replace"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Authenticators.OAuth.OAuthTools.UrlEncodeRelaxed","System.Uri.EscapeDataString"
"RestSharp.Authenticators.OAuth.OAuthTools.GetSignature","RestSharp.Extensions.StringExtensions.IsEmpty","System.String.IsNullOrWhiteSpace"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.Extensions.FindAnnotatedClass","System.String.StartsWith"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.Extensions.FindAnnotatedClass","System.Linq.Enumerable.Any<AttributeSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.Extensions.FindAnnotatedClass","System.Linq.Enumerable.Any<AttributeListSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.Compilation.GetSemanticModel"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.ISymbol.ToDisplayString"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.SyntaxTrivia.GetStructure"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.CSharp.CSharpExtensions.GetCompilationUnitRoot"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.CSharp.CSharpExtensions.GetDeclaredSymbol"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.CSharp.CSharpSyntaxNode.GetLeadingTrivia"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","Microsoft.CodeAnalysis.CSharpExtensions.IsKind"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.String.Join"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.String.Replace"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.Select<PropertyDeclarationSyntax,String>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.ToArray<PropertyDeclarationSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.Select<UsingDirectiveSyntax,String>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.ToArray<String>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.OfType<PropertyDeclarationSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.Where<PropertyDeclarationSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.FirstOrDefault<SyntaxTrivia>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.Any<AccessorDeclarationSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.All<AttributeSyntax>"
"SourceGenerator.ImmutableGenerator.Execute","SourceGenerator.ImmutableGenerator.GenerateImmutableClass","System.Linq.Enumerable.All<AttributeListSyntax>"
