# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       18.980   266995.559
       0.004      287.700       19.105   266995.559
       0.008        0.000       22.199   267079.746
       0.012        0.000       25.438   267083.000
       0.015      282.400       28.762   267117.672
       0.019        0.000       32.301   267121.812
       0.022        0.000       35.027   267122.191
       0.026        0.000       36.086   267122.516
       0.029      317.400       36.824   267122.613
       0.032        0.000       37.867   267123.418
       0.035        0.000       39.438   267123.719
       0.038      316.900       40.359   267124.988
       0.041        0.000       40.359   267124.988
       0.045      320.000       41.105   267125.039
       0.048        0.000       41.941   267125.184
       0.051        0.000       43.344   267126.324
       0.054        0.000       44.789   267127.242
       0.057      315.800       46.453   267128.016
       0.060        0.000       47.777   267128.980
       0.063        0.000       48.332   267128.977
       0.066      319.700       48.957   267208.977
       0.070        0.000       49.508   267209.117
       0.073        0.000       51.191   267211.469
       0.076        0.000       52.340   267211.828
       0.079      318.200       55.820   267218.016
       0.082        0.000       57.547   267218.016
       0.085        0.000       57.922   267218.020
       0.089      319.300       57.922   267218.020
       0.092        0.000       58.047   267218.020
       0.095        0.000       58.172   267218.020
       0.098      322.300       58.355   267218.020
       0.101        0.000       58.730   267218.301
       0.104        0.000       59.105   267218.305
       0.107        0.000       59.355   267218.316
       0.111      322.500       60.113   267218.320
       0.114        0.000       61.562   267443.742
       0.117      342.900       63.105   267683.801
       0.123      370.800       63.859   267764.234
       0.129      351.000       70.832   267774.293
       0.134      173.500       72.555   267935.465
       0.140      170.600       75.324   268023.551
       0.146      347.700       76.262   268023.672
       0.152      185.000       78.914   268024.797
       0.157      394.700       80.254   268089.664
       0.162      173.300       81.289   268089.664
       0.168      171.400       81.715   268089.664
       0.174      403.600       82.566   268089.773
       0.179      204.800       83.102   268089.801
       0.184      178.000       84.539   268171.051
       0.189      335.100       85.473   268171.055
       0.195      198.900       85.848   268171.051
       0.200      181.200       86.516   268251.070
       0.206      390.300       86.641   268251.062
       0.211      181.900       87.266   268251.059
       0.216      373.300       88.078   268251.516
       0.222      222.200       88.512   268251.531
       0.226      208.100       89.738   268251.531
       0.231      185.600       90.520   268251.531
       0.236        0.000       90.520   268251.535
       0.240        0.000       90.645   268251.531
       0.244      338.200       91.453   268251.531
       0.250      161.200       93.461   268253.254
       0.256      155.700       94.477   268333.281
       0.262      459.400       95.477   268333.277
       0.267      276.700       95.852   268333.281
       0.270        0.000       96.613   268413.293
       0.274        0.000       97.723   268413.332
       0.277      292.600       98.230   268413.332
       0.281        0.000       98.730   268413.328
       0.284      212.700       99.016   268413.332
       0.289      204.800      100.484   268414.434
       0.294      298.500      101.285   268415.719
       0.297      300.100      101.266   268414.438
       0.300        0.000      101.266   268414.438
       0.304      306.400      101.641   268414.438
       0.307      300.800      101.766   268414.438
       0.310        0.000      101.891   268414.438
       0.314      310.700      101.891   268414.438
       0.317        0.000      102.320   268414.543
       0.320      305.600      102.715   268414.543
       0.324      613.400      103.090   268414.543
       0.327        0.000      103.465   268414.543
       0.330      313.300      103.840   268414.547
       0.333        0.000      103.965   268414.539
       0.336      309.900      104.215   268414.543
       0.340        0.000      104.340   268414.543
       0.343      309.800      104.465   268414.539
       0.346      294.700      104.715   268414.543
       0.350        0.000      104.715   268414.543
       0.353      298.700      104.715   268414.547
       0.356      299.300      104.840   268414.543
       0.360        0.000      104.965   268414.555
       0.363      307.100      105.090   268414.547
       0.366      305.700      105.215   268414.547
       0.369        0.000      105.215   268414.551
       0.373      308.500      105.340   268414.562
       0.376        0.000      105.465   268414.551
       0.379      309.900      105.590   268414.547
       0.382      256.600      105.715   268414.547
       0.386      323.400      105.965   268414.555
       0.392      159.200      106.340   268414.551
       0.399      170.300      106.590   268494.574
       0.405      168.500      107.527   268574.902
       0.411      375.100      107.652   268574.902
       0.416      271.200      107.902   268574.902
