"col0","col1","col2"
"Serilog.Context.LogContext.Clone","Serilog.Context.LogContext.Clone","System.Linq.Enumerable.ToArray<ILogEventEnricher>"
"Serilog.Core.Pipeline.ByReferenceStringComparer.Equals","Serilog.Core.Pipeline.ByReferenceStringComparer.Equals","System.Object.ReferenceEquals"
"Serilog.Debugging.SelfLog.Enable","Serilog.Debugging.SelfLog.Enable","System.CodeDom.Compiler.IndentedTextWriter.Flush"
"Serilog.Debugging.SelfLog.Enable","Serilog.Debugging.SelfLog.Enable","System.IO.TextWriter.Flush"
"Serilog.Debugging.SelfLog.Enable","Serilog.Debugging.SelfLog.Enable","System.CodeDom.Compiler.IndentedTextWriter.WriteLine"
"Serilog.Debugging.SelfLog.Enable","Serilog.Debugging.SelfLog.Enable","System.IO.TextWriter.WriteLine"
"Serilog.Debugging.SelfLog.Enable","Serilog.Debugging.SelfLog.Enable","System.IO.StreamWriter.Flush"
"Serilog.Debugging.SelfLog.Enable","Serilog.Debugging.SelfLog.Enable","System.IO.StreamWriter.WriteLine"
"Serilog.Events.LogEvent.AddPropertyIfAbsent","Serilog.Events.LogEvent.AddPropertyIfAbsent","System.Collections.Generic.Dictionary<System.String,Serilog.Events.LogEventPropertyValue>.TryAdd"
"Serilog.Events.LogEvent.AddPropertyIfAbsent","Serilog.Events.LogEvent.AddPropertyIfAbsent","System.Collections.Generic.Dictionary<System.String,Serilog.Events.LogEventPropertyValue>.ContainsKey"
"Serilog.Events.LogEvent.AddPropertyIfAbsent","Serilog.Events.LogEvent.AddPropertyIfAbsent","System.Collections.Generic.Dictionary<System.String,Serilog.Events.LogEventPropertyValue>.Add"
"Serilog.Events.LogEvent.RemovePropertyIfPresent","Serilog.Events.LogEvent.RemovePropertyIfPresent","System.Collections.Generic.Dictionary<System.String,Serilog.Events.LogEventPropertyValue>.Remove"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.Globalization.CultureInfo.GetFormat"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.Globalization.DateTimeFormatInfo.GetFormat"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.Globalization.NumberFormatInfo.GetFormat"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.DateTime.ToString"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.DateTimeOffset.ToString"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.IFormatProvider.GetFormat"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.Render`1","System.IFormattable.ToString"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.WriteWithCustomFormatter`1","System.CodeDom.Compiler.IndentedTextWriter.Write"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.WriteWithCustomFormatter`1","System.IO.TextWriter.Write"
"Serilog.Events.ScalarValue.Render`1","Serilog.Events.ScalarValue.WriteWithCustomFormatter`1","System.IO.StreamWriter.Write"
