"col0","col1","col2"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","System.Linq.Queryable.Where<MostViewEntityDto>"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","System.Linq.Queryable.Take<MostViewEntityDto>"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.ToListAsync<MostViewEntityDto>"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Data.ActivityRepository.List","System.Linq.Queryable.GroupBy<<>__AnonType0<Activity,Entity>,<>__AnonType0<Int64,String,String,String>,Activity>"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Data.ActivityRepository.List","System.Linq.Queryable.Where<<>__AnonType0<Activity,Entity>>"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Data.ActivityRepository.List","System.Linq.Queryable.Join<Activity,Entity,<>__AnonType0<Int64,String>,<>__AnonType0<Activity,Entity>>"
"SimplCommerce.Module.ActivityLog.Areas.ActivityLog.Controllers.MostViewedEntityController.GetMostViewedEntities","SimplCommerce.Module.ActivityLog.Data.ActivityRepository.List","Microsoft.EntityFrameworkCore.DbContext.Set<Entity>"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Add","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Add","Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1.Add"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Add","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Add","Microsoft.EntityFrameworkCore.DbSet<T>.Add"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.AddRange","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.AddRange","Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1.AddRange"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.AddRange","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.AddRange","Microsoft.EntityFrameworkCore.DbSet<T>.AddRange"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.SaveChanges","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.SaveChanges","Microsoft.EntityFrameworkCore.DbContext.SaveChanges"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.SaveChangesAsync","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.SaveChangesAsync","Microsoft.EntityFrameworkCore.DbContext.SaveChangesAsync"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Remove","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Remove","Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1.Remove"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Remove","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.Remove","Microsoft.EntityFrameworkCore.DbSet<T>.Remove"
"SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.BeginTransaction","SimplCommerce.Module.Core.Data.RepositoryWithTypedId`2.BeginTransaction","Microsoft.EntityFrameworkCore.Infrastructure.DatabaseFacade.BeginTransaction"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Module.ActivityLog.Models.Activity,System.Int64>.Add"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","System.Guid.NewGuid"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","Microsoft.AspNetCore.Identity.UserManager<SimplCommerce.Module.Core.Models.User>.CreateAsync"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","Microsoft.AspNetCore.Identity.UserManager<SimplCommerce.Module.Core.Models.User>.AddToRoleAsync"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Module.Core.Models.User,System.Int64>.Query"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.Include<User,IList<UserRole>>"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","Microsoft.AspNetCore.Identity.UserManager<SimplCommerce.Module.Core.Models.User>.GetUserAsync"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","System.String.Format"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","System.Linq.Queryable.FirstOrDefault<User>"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue<String>"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetCurrentUser","System.Linq.Enumerable.First<UserRole>"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.SetUserGuidCookies","Microsoft.AspNetCore.Http.IResponseCookies.Append"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.SetUserGuidCookies","System.DateTime.AddYears"
"SimplCommerce.Module.ActivityLog.Events.EntityViewedHandler.Handle","SimplCommerce.Module.Core.Extensions.WorkContext.GetUserGuidFromCookies","Microsoft.AspNetCore.Http.IRequestCookieCollection.ContainsKey"
