# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.035   266995.559
       0.004        0.000       19.160   266995.559
       0.007      317.400       20.750   267079.645
       0.010        0.000       23.316   267082.590
       0.013        0.000       25.719   267082.980
       0.016      322.400       28.945   267117.672
       0.019        0.000       34.152   267122.051
       0.023        0.000       35.152   267122.168
       0.026        0.000       36.504   267122.590
       0.029      326.100       37.066   267122.590
       0.032        0.000       38.930   267123.695
       0.035        0.000       39.727   267123.797
       0.038      325.300       40.352   267125.016
       0.041        0.000       40.355   267124.449
       0.044        0.000       41.617   267125.195
       0.047        0.000       43.035   267126.332
       0.051      302.900       43.660   267126.340
       0.054        0.000       45.980   267128.020
       0.057        0.000       47.543   267128.988
       0.061        0.000       48.082   267128.984
       0.064      639.600       48.707   267208.984
       0.067        0.000       49.430   267209.125
       0.070        0.000       49.930   267209.242
       0.073      317.500       51.105   267210.039
       0.076        0.000       52.590   267290.762
       0.079        0.000       52.840   267290.762
       0.082        0.000       52.965   267290.762
       0.086        0.000       53.090   267290.762
       0.089        0.000       55.059   267293.191
       0.092        0.000       56.262   267293.406
       0.095        0.000       56.969   267293.418
       0.098      324.800       61.043   267299.332
       0.101        0.000       61.727   267299.332
       0.104        0.000       61.727   267299.332
       0.107      324.500       61.727   267299.332
       0.111        0.000       61.727   267299.332
       0.114        0.000       61.727   267299.332
       0.117      320.100       61.727   267299.332
       0.120        0.000       61.727   267299.332
       0.123        0.000       61.727   267299.332
       0.126      306.200       61.727   267299.332
       0.129        0.000       61.727   267299.332
       0.132        0.000       61.727   267299.332
       0.135        0.000       61.727   267299.332
       0.139      323.900       61.727   267299.332
       0.142        0.000       61.727   267299.332
       0.145        0.000       61.727   267299.332
       0.148      325.800       61.727   267299.332
       0.151        0.000       61.727   267299.332
       0.154        0.000       61.727   267299.332
       0.157      323.900       61.727   267299.332
       0.160        0.000       61.727   267299.332
       0.163        0.000       61.727   267299.332
       0.166      319.400       61.727   267299.332
       0.169        0.000       61.727   267299.332
       0.173        0.000       61.727   267299.332
       0.176        0.000       61.727   267299.332
       0.179      320.100       61.727   267299.332
       0.182        0.000       61.727   267299.332
       0.185        0.000       61.727   267299.332
       0.188      322.400       61.727   267299.332
       0.191        0.000       61.727   267299.332
