# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       18.977   266995.559
       0.004        0.000       19.102   266995.559
       0.007      319.500       21.617   267079.645
       0.010        0.000       24.316   267082.625
       0.013        0.000       27.082   267117.711
       0.016        0.000       29.383   267117.672
       0.019      324.600       34.418   267122.051
       0.022        0.000       35.547   267122.484
       0.025        0.000       36.527   267122.590
       0.029        0.000       37.215   267122.590
       0.032      323.000       39.078   267123.695
       0.035        0.000       40.125   267124.824
       0.038        0.000       40.375   267125.016
       0.041      326.100       40.383   267124.453
       0.044        0.000       41.785   267125.195
       0.047        0.000       43.312   267126.332
       0.050      324.000       43.688   267126.340
       0.053        0.000       46.289   267128.020
       0.056        0.000       47.449   267128.988
       0.060      323.500       48.121   267129.000
       0.063        0.000       48.926   267208.984
       0.066        0.000       49.387   267209.125
       0.069        0.000       49.762   267209.129
       0.072      636.000       50.766   267210.039
       0.075        0.000       52.398   267290.762
       0.078        0.000       52.922   267290.762
       0.082        0.000       53.172   267290.762
       0.085        0.000       53.297   267290.762
       0.088        0.000       55.031   267293.191
       0.091      321.100       56.523   267293.406
       0.094        0.000       57.234   267293.418
       0.098        0.000       61.199   267299.332
       0.101        0.000       61.758   267299.332
       0.104      326.700       61.758   267299.332
       0.107        0.000       61.758   267299.332
       0.110        0.000       61.758   267299.332
       0.113      324.700       61.758   267299.332
       0.116        0.000       61.758   267299.332
       0.119        0.000       61.758   267299.332
       0.122      322.900       61.758   267299.332
       0.125        0.000       61.758   267299.332
       0.129        0.000       61.758   267299.332
       0.132      297.100       61.758   267299.332
       0.135        0.000       61.758   267299.332
       0.141      186.400       61.758   267299.332
       0.146        0.000       61.758   267299.332
       0.152      179.300       61.758   267299.332
       0.157        0.000       61.758   267299.332
       0.163      187.300       61.758   267299.332
       0.168        0.000       61.758   267299.332
       0.173      184.600       61.758   267299.332
       0.179        0.000       61.758   267299.332
       0.184      192.500       61.758   267299.332
       0.190      197.200       61.758   267299.332
       0.195        0.000       61.758   267299.332
       0.200      189.200       61.758   267299.332
       0.205        0.000       61.883   267299.328
       0.210      176.800       61.883   267299.328
       0.216        0.000       61.883   267299.328
       0.221      182.200       62.793   267299.883
       0.227        0.000       63.477   267299.883
       0.232      182.400       63.602   267300.016
       0.238        0.000       63.602   267300.016
