# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       18.887   266995.559
       0.004        0.000       19.012   266995.559
       0.007      315.700       20.289   267079.645
       0.010        0.000       22.730   267079.754
       0.013        0.000       25.613   267082.941
       0.016        0.000       28.996   267117.672
       0.019      322.200       33.586   267122.051
       0.022        0.000       35.203   267122.172
       0.025        0.000       36.434   267122.586
       0.029        0.000       37.121   267122.594
       0.032      317.700       38.859   267123.699
       0.035      321.800       39.781   267123.801
       0.038        0.000       40.281   267125.020
       0.041        0.000       40.297   267124.457
       0.044      324.900       41.574   267125.199
       0.047        0.000       42.992   267126.336
       0.050        0.000       43.617   267126.340
       0.054        0.000       45.969   267128.023
       0.057      324.000       47.379   267128.992
       0.060        0.000       47.926   267128.988
       0.063        0.000       48.730   267208.988
       0.066      324.200       49.406   267209.129
       0.069        0.000       49.965   267209.246
       0.072        0.000       51.484   267210.051
       0.075        0.000       52.547   267290.770
       0.078        0.000       53.047   267290.766
       0.082        0.000       53.172   267290.766
       0.085        0.000       53.297   267290.766
       0.088      322.400       55.152   267293.195
       0.091      325.400       56.770   267293.410
       0.094        0.000       57.355   267293.422
       0.097        0.000       61.207   267299.336
       0.100        0.000       61.766   267299.336
       0.104      308.800       61.766   267299.336
       0.107        0.000       61.766   267299.336
       0.110        0.000       61.766   267299.336
       0.113      322.300       61.766   267299.336
       0.116        0.000       61.766   267299.336
       0.119        0.000       61.766   267299.336
       0.122      325.100       61.766   267299.336
       0.125        0.000       61.766   267299.336
       0.128        0.000       61.766   267299.336
       0.131      321.100       61.766   267299.336
       0.135        0.000       61.766   267299.336
       0.140      185.900       61.766   267299.336
       0.146        0.000       61.766   267299.336
       0.151      186.900       61.766   267299.336
       0.157        0.000       61.766   267299.336
       0.162      195.500       61.766   267299.336
       0.167        0.000       61.766   267299.336
       0.173      178.500       61.766   267299.336
       0.179      181.600       61.766   267299.336
       0.184        0.000       61.766   267299.336
       0.189      172.200       61.766   267299.336
       0.195        0.000       61.766   267299.336
       0.201      178.900       61.766   267299.336
       0.206        0.000       61.891   267299.332
       0.212      181.200       61.891   267299.332
       0.218      183.900       61.891   267299.332
       0.223        0.000       61.891   267299.332
       0.228      192.300       61.891   267299.332
       0.233        0.000       61.891   267299.332
       0.239      185.500       61.891   267299.332
       0.244        0.000       61.891   267299.332
       0.249      186.100       61.891   267299.332
       0.254        0.000       61.891   267299.332
       0.260      177.800       61.891   267299.332
       0.265        0.000       61.891   267299.332
       0.269        0.000       61.891   267299.332
       0.272      324.400       61.891   267299.332
       0.276        0.000       61.891   267299.332
       0.279        0.000       61.891   267299.332
       0.282      324.400       61.891   267299.332
       0.285        0.000       61.891   267299.332
       0.288        0.000       61.891   267299.332
       0.291      327.600       61.891   267299.332
       0.294        0.000       61.891   267299.332
       0.297        0.000       61.891   267299.332
       0.300      318.400       61.891   267299.332
       0.303        0.000       61.891   267299.332
       0.306        0.000       61.891   267299.332
       0.309        0.000       61.891   267299.332
       0.312      332.000       61.891   267299.332
       0.315        0.000       61.891   267299.332
       0.318        0.000       61.891   267299.332
       0.321      330.600       61.891   267299.332
       0.324        0.000       61.891   267299.332
       0.327        0.000       61.891   267299.332
       0.331      330.100       61.891   267299.332
       0.334        0.000       61.891   267299.332
       0.337        0.000       61.891   267299.332
       0.340        0.000       61.891   267299.332
       0.343      329.500       61.891   267299.332
       0.346        0.000       61.891   267299.332
       0.349        0.000       62.172   267299.332
       0.352      321.800       62.859   267299.781
       0.355        0.000       63.109   267299.781
       0.358        0.000       63.359   267299.789
       0.361        0.000       63.359   267299.785
       0.364      330.500       63.359   267299.785
       0.367        0.000       63.484   267299.785
       0.370        0.000       63.484   267299.785
       0.373      328.700       63.734   267299.918
       0.376        0.000       63.734   267299.922
       0.379        0.000       63.734   267299.922
       0.382      327.900       63.734   267299.922
       0.385        0.000       63.734   267299.922
       0.388        0.000       63.734   267299.922
       0.391        0.000       63.859   267299.926
       0.394      327.700       64.109   267300.059
       0.398        0.000       64.109   267300.059
       0.401        0.000       64.109   267300.059
       0.404      326.700       64.109   267300.059
       0.407        0.000       64.234   267300.055
       0.410        0.000       65.715   267605.496
       0.413      363.400       66.719   267766.352
       0.419      188.300       71.129   267773.539
       0.424      174.600       71.922   267853.629
       0.430      343.900       76.910   267942.867
       0.436      189.400       78.152   268007.141
       0.441        0.000       79.270   268007.176
       0.447      551.000       80.328   268087.199
       0.452      209.800       80.953   268087.195
       0.457      195.900       81.832   268167.242
       0.462      172.800       82.688   268167.707
       0.468      367.600       84.266   268169.156
       0.473      213.800       84.699   268169.152
       0.478      210.500       85.199   268169.168
       0.483      210.700       85.574   268169.176
       0.487      353.700       88.500   268171.629
       0.493      194.500       89.184   268171.758
       0.498      220.200       90.879   268253.492
       0.503        0.000       91.129   268253.496
       0.506      322.200       91.504   268253.496
       0.509        0.000       91.645   268253.504
       0.512      650.100       92.145   268253.508
       0.515        0.000       93.145   268253.508
       0.518        0.000       94.449   268333.520
       0.521        0.000       95.379   268333.562
       0.524      318.100       96.148   268333.559
       0.528        0.000       96.273   268333.555
       0.531        0.000       96.559   268333.559
       0.534      315.300       97.840   268334.664
       0.537        0.000       98.500   268334.660
       0.540        0.000       98.500   268334.660
       0.543        0.000       98.625   268334.660
       0.546      324.100       98.625   268334.660
       0.549        0.000       99.000   268334.770
       0.552        0.000       99.402   268334.773
       0.555      325.100       99.902   268334.770
       0.559        0.000      100.336   268334.773
       0.562        0.000      100.461   268334.770
       0.565        0.000      100.586   268334.770
       0.568      324.600      100.840   268334.766
       0.571        0.000      100.840   268334.773
       0.574      314.700      100.965   268334.773
       0.577        0.000      100.965   268334.781
       0.580        0.000      101.223   268334.781
       0.584      322.700      101.348   268334.781
       0.587        0.000      101.348   268334.777
       0.591        0.000      101.848   268334.777
       0.594      320.500      101.973   268334.777
       0.597        0.000      102.098   268334.773
       0.600        0.000      102.348   268334.777
       0.603      280.200      102.598   268414.797
       0.607        0.000      102.848   268494.812
       0.611      311.700      102.973   268494.820
       0.614        0.000      103.098   268494.820
       0.617        0.000      104.379   268497.277
       0.620      322.400      105.637   268497.977
       0.623      325.700      107.117   268500.434
       0.626        0.000      108.027   268500.438
       0.630        0.000      108.152   268500.438
       0.634      321.300      108.277   268500.434
       0.637        0.000      108.277   268500.434
       0.640        0.000      108.652   268500.441
       0.644      234.200      108.777   268500.438
       0.648      340.400      109.340   268580.457
       0.654      177.800      110.215   268580.449
       0.659      180.700      110.715   268660.473
       0.665        0.000      129.410   270739.652
       0.671      163.800      144.102   802646.332
       0.677      420.500      154.898  1069616.496
       0.688      298.900      165.078  1069786.867
       0.701      240.100      185.180  1069843.387
       0.713      318.600      193.387  1069930.215
       0.726      314.700      204.605  1070052.984
       0.739      328.200      215.000  1070060.734
       0.754      324.900      221.574  1070095.863
       0.766      333.800      226.637  1070113.867
       0.778      293.900      233.012  1070179.090
       0.795      262.000      242.676  1070423.254
       0.813      313.100      247.707  1070569.914
       0.828      359.700      251.484  1070649.703
       0.842      147.800      255.488  1070649.742
       0.855      147.700      257.012  1070730.012
       0.862      333.200      258.316  1070730.133
       0.868      324.100      259.371  1070810.148
       0.874      159.200      261.863  1070812.988
       0.881      463.100      265.070  1070830.805
       0.887      224.700      271.645  1071074.840
       0.900        0.000      275.676  1071141.801
       0.906      263.200      277.367  1071286.137
       0.915      381.900      281.715  1071598.371
       0.925      304.500      283.887  1071678.441
       0.931      456.000      285.578  1071758.453
       0.938      431.700      289.352  1071841.676
       0.945      127.500      291.320  1072002.852
       0.953      153.000      294.871  1072006.062
       0.959      326.500      297.508  1072087.691
       0.965      386.000      300.812  1072095.605
       0.971      316.100      303.398  1072176.086
       0.977        0.000      307.254  1072184.008
       0.983      454.100      309.375  1072184.004
       0.990      464.000      311.355  1072183.988
       0.996      481.900      312.168  1072184.000
       1.002      161.100      313.543  1072184.098
       1.009      459.600      315.168  1072184.105
       1.015        0.000      316.043  1072184.109
       1.020      464.800      317.668  1072184.102
       1.027      316.500      319.168  1072184.105
       1.033      157.700      320.867  1072184.215
       1.039      315.200      322.676  1072184.621
