# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.141   266995.559
       0.006      201.000       19.266   266995.559
       0.010        0.000       20.605   267079.645
       0.016      181.700       23.551   267082.590
       0.021        0.000       25.840   267082.980
       0.026      403.700       29.066   267117.672
       0.031        0.000       33.652   267122.051
       0.036        0.000       35.270   267122.305
       0.042      306.500       36.328   267122.582
       0.045        0.000       36.941   267122.590
       0.048        0.000       38.551   267123.695
       0.051        0.000       39.484   267123.695
       0.054      328.900       40.281   267125.016
       0.057        0.000       40.281   267125.016
       0.060        0.000       41.207   267125.078
       0.063        0.000       42.043   267125.191
       0.066        0.000       43.445   267126.332
       0.069      664.000       44.887   267127.250
       0.072        0.000       46.426   267128.016
       0.075        0.000       47.742   267128.988
       0.079        0.000       48.242   267128.984
       0.082      332.100       48.867   267208.988
       0.085        0.000       49.543   267209.125
       0.088        0.000       49.668   267209.129
       0.091        0.000       50.797   267209.469
       0.094      273.900       52.703   267290.762
       0.098        0.000       52.953   267290.762
       0.101        0.000       53.078   267290.762
       0.104        0.000       53.328   267290.762
       0.107        0.000       54.613   267293.109
       0.110        0.000       55.910   267293.199
       0.113      327.200       56.758   267293.414
       0.116      325.600       60.598   267299.336
       0.119        0.000       61.711   267299.332
       0.122        0.000       61.711   267299.332
       0.125      322.200       61.711   267299.332
       0.128        0.000       61.711   267299.332
       0.131        0.000       61.711   267299.332
       0.134        0.000       61.711   267299.332
       0.137      331.800       61.711   267299.332
       0.140        0.000       61.711   267299.332
       0.143        0.000       61.711   267299.332
       0.146      331.300       61.711   267299.332
       0.149        0.000       61.711   267299.332
       0.152        0.000       61.711   267299.332
       0.156      330.900       61.711   267299.332
       0.159        0.000       61.711   267299.332
       0.162        0.000       61.711   267299.332
       0.165        0.000       61.711   267299.332
       0.168      333.200       61.711   267299.332
       0.171        0.000       61.711   267299.332
       0.174        0.000       61.711   267299.332
       0.177      222.300       61.711   267299.332
       0.182        0.000       61.711   267299.332
       0.185        0.000       61.711   267299.332
       0.188      330.000       61.711   267299.332
       0.191        0.000       61.711   267299.332
       0.194        0.000       61.711   267299.332
       0.197      332.700       61.711   267299.332
       0.200        0.000       61.711   267299.332
       0.203        0.000       61.711   267299.332
       0.206      332.800       61.711   267299.332
       0.209        0.000       61.711   267299.332
       0.212        0.000       61.711   267299.332
       0.215        0.000       62.242   267299.598
       0.218      332.500       62.746   267299.910
       0.221        0.000       62.930   267299.910
       0.224        0.000       63.055   267299.910
       0.228      326.300       63.305   267300.039
       0.231        0.000       63.555   267300.039
       0.234        0.000       63.555   267300.039
       0.237      308.500       63.555   267300.039
       0.240        0.000       63.555   267300.039
       0.243        0.000       63.680   267300.199
       0.246      335.700       63.680   267300.203
       0.249        0.000       63.680   267300.203
       0.252        0.000       63.680   267300.203
       0.255        0.000       63.680   267300.203
       0.258      330.300       63.805   267300.203
       0.261        0.000       63.805   267300.207
       0.264        0.000       64.188   267300.199
       0.267        0.000       64.188   267300.199
       0.270      327.800       64.188   267300.199
       0.273        0.000       64.188   267300.199
       0.276        0.000       64.188   267300.195
       0.279      302.700       65.250   267445.598
       0.283      270.200       65.984   267765.680
       0.286        0.000       66.414   267765.688
       0.289      329.300       67.719   267767.387
       0.292        0.000       70.898   267773.746
       0.295      484.400       71.535   267853.770
       0.300      252.500       74.211   267941.848
       0.303        0.000       75.035   267941.836
       0.307        0.000       76.012   267941.992
       0.310      320.800      149.008   535875.273
       0.313        0.000      150.500   535875.258
       0.316        0.000      151.781   535875.336
       0.320      330.600      154.148   536035.414
       0.326      324.500      155.484   536195.445
       0.333      165.600      158.055   536196.336
       0.339      172.600       82.137   268167.672
       0.344      180.800       82.793   268247.715
       0.350      175.100       83.648   268247.953
       0.356      191.100       85.086   268249.180
       0.361      312.500       85.336   268249.184
       0.364      384.300       85.836   268249.184
       0.369      173.500       88.473   268251.637
       0.375      172.900       90.312   268253.355
       0.381      500.300       91.188   268253.355
       0.387        0.000       91.586   268253.363
       0.393      185.400       92.711   268253.363
       0.398        0.000       93.711   268253.363
       0.403      185.300       94.086   268253.359
       0.409        0.000       96.133   268333.383
       0.414      175.800       96.652   268333.422
       0.420        0.000       97.402   268333.422
       0.423        0.000       97.652   268333.422
       0.426      320.900       97.938   268333.426
       0.429        0.000       99.156   268334.527
       0.432        0.000       99.582   268334.523
       0.435      323.300       99.707   268334.523
       0.439      323.600       99.957   268334.523
       0.442        0.000       99.957   268334.523
       0.445        0.000      100.207   268334.520
       0.448        0.000      100.633   268334.633
       0.451        0.000      101.277   268334.633
       0.454      323.100      101.652   268334.633
       0.457        0.000      102.027   268334.633
       0.460        0.000      102.152   268334.637
       0.463      325.500      102.402   268334.637
       0.466        0.000      102.652   268334.633
       0.469        0.000      102.902   268334.641
       0.472      329.200      103.027   268334.633
       0.475        0.000      103.160   268334.641
       0.478        0.000      103.410   268334.641
       0.481        0.000      103.410   268334.645
       0.485      319.000      103.535   268334.641
       0.488        0.000      104.535   268334.641
       0.493      298.500      104.910   268334.637
       0.496        0.000      105.285   268334.641
       0.499      318.800      105.535   268334.645
       0.502        0.000      106.160   268334.645
       0.505      325.700      106.410   268334.637
       0.508        0.000      106.535   268414.656
       0.511        0.000      106.910   268494.684
       0.515      212.000      107.035   268494.684
       0.520        0.000      107.535   268494.680
       0.523        0.000      109.949   268497.840
       0.526      297.500      110.297   268498.039
       0.530        0.000      112.219   268500.297
       0.533        0.000      112.344   268500.297
       0.536      295.600      112.594   268500.305
       0.539        0.000      112.594   268500.301
       0.543        0.000      112.719   268500.297
       0.546      283.700      113.344   268500.301
       0.549        0.000      113.719   268500.301
       0.553      495.600      113.969   268500.297
       0.557      206.100      114.406   268580.316
       0.562      348.600      115.340   268580.617
       0.567        0.000      115.965   268660.645
       0.573      177.700      132.484   268690.773
       0.579      140.100      145.852   275554.531
       0.586      280.700      158.730  1069616.188
