# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.059   266995.559
       0.004        0.000       19.184   266995.559
       0.007      312.600       21.023   267079.645
       0.010        0.000       24.168   267082.625
       0.013        0.000       27.043   267117.711
       0.016      313.200       29.344   267121.684
       0.020        0.000       34.332   267122.051
       0.023        0.000       35.625   267122.488
       0.026        0.000       36.441   267122.594
       0.029      322.500       37.379   267122.594
       0.032      321.300       38.992   267123.699
       0.035        0.000       40.289   267125.020
       0.038        0.000       40.289   267125.020
       0.041      277.300       40.305   267124.457
       0.045        0.000       41.707   267125.195
       0.048        0.000       43.234   267126.336
       0.052        0.000       44.398   267127.133
       0.055        0.000       46.348   267128.023
       0.058      323.900       47.664   267128.992
       0.061        0.000       48.289   267128.988
       0.064        0.000       48.914   267208.988
       0.067      322.500       49.465   267209.129
       0.070        0.000       50.039   267209.246
       0.073        0.000       51.758   267210.324
       0.076        0.000       52.801   267290.766
       0.079        0.000       52.926   267290.766
       0.083        0.000       53.051   267290.766
       0.086        0.000       53.176   267290.766
       0.089      319.000       55.086   267293.195
       0.092      322.100       56.578   267293.418
       0.095        0.000       58.789   267299.340
       0.099        0.000       61.676   267299.336
       0.102      318.200       61.676   267299.336
       0.105        0.000       61.676   267299.336
       0.108        0.000       61.676   267299.336
       0.111      325.100       61.676   267299.336
       0.114        0.000       61.676   267299.336
       0.118        0.000       61.676   267299.336
       0.121      324.100       61.676   267299.336
       0.124        0.000       61.676   267299.336
       0.127        0.000       61.676   267299.336
       0.130      317.100       61.676   267299.336
       0.133        0.000       61.676   267299.336
       0.136        0.000       61.676   267299.336
       0.139        0.000       61.676   267299.336
       0.143      323.500       61.676   267299.336
       0.146        0.000       61.676   267299.336
       0.149        0.000       61.676   267299.336
       0.152      320.300       61.676   267299.336
       0.155        0.000       61.676   267299.336
       0.158        0.000       61.676   267299.336
       0.161      322.900       61.676   267299.336
       0.164        0.000       61.676   267299.336
       0.167        0.000       61.676   267299.336
       0.170      321.700       61.676   267299.336
       0.174        0.000       61.676   267299.336
       0.177        0.000       61.676   267299.336
       0.180        0.000       61.676   267299.336
       0.183      320.500       61.676   267299.336
       0.186        0.000       61.676   267299.336
       0.189        0.000       61.676   267299.336
       0.192      324.800       61.676   267299.336
       0.195        0.000       61.676   267299.336
       0.198        0.000       61.676   267299.336
       0.201      323.000       61.676   267299.336
       0.205        0.000       61.676   267299.336
       0.208        0.000       61.676   267299.336
       0.211      322.900       61.801   267299.332
       0.214        0.000       61.801   267299.332
       0.217        0.000       61.801   267299.332
       0.220      323.000       61.801   267299.332
       0.223        0.000       61.801   267299.332
       0.226        0.000       61.801   267299.332
       0.229        0.000       61.801   267299.332
       0.232      325.100       61.801   267299.332
       0.235        0.000       61.801   267299.332
       0.239        0.000       61.801   267299.332
       0.242      320.400       61.801   267299.332
       0.245        0.000       61.801   267299.332
       0.248        0.000       61.801   267299.332
       0.251      291.300       61.801   267299.332
       0.255        0.000       61.801   267299.332
       0.258        0.000       61.801   267299.332
       0.261      322.200       61.801   267299.332
       0.264        0.000       61.801   267299.332
       0.267        0.000       61.801   267299.332
       0.270      326.800       61.801   267299.332
       0.273        0.000       61.801   267299.332
       0.277        0.000       61.801   267299.332
       0.280        0.000       61.801   267299.332
       0.283      325.900       61.801   267299.332
       0.286        0.000       61.801   267299.332
       0.289        0.000       61.801   267299.332
       0.292      324.800       61.801   267299.332
       0.295        0.000       61.801   267299.332
       0.298        0.000       61.801   267299.332
       0.301      324.500       61.801   267299.332
       0.304        0.000       61.801   267299.332
       0.307        0.000       61.801   267299.332
       0.310      324.300       61.801   267299.332
       0.313        0.000       61.801   267299.332
       0.317        0.000       61.801   267299.332
       0.320        0.000       61.801   267299.332
       0.323      326.400       61.801   267299.332
       0.326        0.000       61.801   267299.332
       0.329        0.000       61.801   267299.332
       0.332      326.300       61.801   267299.332
       0.335        0.000       61.801   267299.332
       0.338        0.000       61.801   267299.332
       0.341      322.600       61.801   267299.332
       0.344        0.000       61.801   267299.332
       0.347        0.000       61.801   267299.332
       0.351        0.000       61.801   267299.332
       0.354      325.600       61.801   267299.332
       0.357        0.000       61.801   267299.332
       0.360        0.000       61.801   267299.332
       0.363      324.900       61.801   267299.332
       0.366        0.000       61.801   267299.332
       0.369        0.000       61.801   267299.332
       0.372      324.200       61.801   267299.332
