# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.047   266995.555
       0.004        0.000       19.047   266995.555
       0.007        0.000       20.824   267079.641
       0.010        0.000       23.844   267082.586
       0.014      624.100       25.809   267085.027
       0.017        0.000       29.035   267117.668
       0.020        0.000       34.363   267122.047
       0.023        0.000       35.238   267122.188
       0.026      309.800       36.582   267122.609
       0.030        0.000       37.270   267122.609
       0.033        0.000       39.059   267123.715
       0.036        0.000       40.230   267124.984
       0.039      314.100       40.355   267124.984
       0.043        0.000       40.715   267124.707
       0.046        0.000       41.930   267125.176
       0.049      178.300       44.211   267127.043
       0.054        0.000       47.469   267128.973
       0.060      174.600       48.762   267208.973
       0.066        0.000       49.348   267209.109
       0.069      312.600       49.723   267209.113
       0.073        0.000       51.391   267210.023
       0.076      265.400       52.746   267290.762
       0.080        0.000       53.121   267290.746
       0.083        0.000       53.371   267290.746
       0.086        0.000       53.496   267290.746
       0.090        0.000       55.230   267293.180
       0.093        0.000       56.848   267293.391
       0.096        0.000       59.184   267299.359
       0.099      274.700       61.977   267299.445
       0.103        0.000       61.977   267299.445
       0.106        0.000       61.977   267299.445
       0.109      314.400       61.977   267299.445
       0.113        0.000       61.977   267299.445
       0.116        0.000       61.977   267299.445
       0.119      312.800       61.977   267299.445
       0.122        0.000       61.977   267299.445
       0.125        0.000       61.977   267299.445
       0.129      316.600       61.977   267299.445
       0.132        0.000       61.977   267299.445
       0.135        0.000       61.977   267299.445
       0.138      316.600       61.977   267299.445
       0.141        0.000       61.977   267299.445
       0.144        0.000       61.977   267299.445
       0.148      317.800       61.977   267299.445
       0.151        0.000       61.977   267299.445
       0.154        0.000       61.977   267299.445
       0.157        0.000       61.977   267299.445
       0.160      315.000       61.977   267299.445
       0.163        0.000       61.977   267299.445
       0.167        0.000       61.977   267299.445
       0.170      318.000       61.977   267299.445
       0.173        0.000       61.977   267299.445
       0.176        0.000       61.977   267299.445
       0.179      259.200       61.977   267299.445
       0.183        0.000       61.977   267299.445
       0.187      227.700       61.977   267299.445
       0.191        0.000       61.977   267299.445
       0.197      188.900       61.977   267299.445
       0.202        0.000       61.977   267299.445
       0.208      171.500       62.102   267299.441
       0.214      172.800       62.102   267299.441
       0.220        0.000       62.102   267299.441
       0.226      198.000       62.102   267299.441
       0.231        0.000       62.102   267299.441
       0.234        0.000       62.102   267299.441
       0.237      317.200       62.102   267299.441
       0.240        0.000       62.102   267299.441
       0.243        0.000       62.102   267299.441
       0.246      316.300       62.102   267299.441
       0.250        0.000       62.102   267299.441
       0.253        0.000       62.102   267299.441
       0.256        0.000       62.102   267299.441
       0.259      317.700       62.102   267299.441
       0.262        0.000       62.102   267299.441
       0.265        0.000       62.102   267299.441
       0.269      174.000       62.102   267299.441
       0.275      171.900       62.102   267299.441
       0.280        0.000       62.102   267299.441
       0.286      165.700       62.102   267299.441
       0.292        0.000       62.102   267299.441
       0.296        0.000       62.102   267299.441
       0.299      318.700       62.102   267299.441
       0.302        0.000       62.102   267299.441
       0.305        0.000       62.102   267299.441
       0.309      317.100       62.102   267299.441
       0.312        0.000       62.102   267299.441
       0.315        0.000       62.102   267299.441
       0.318      317.900       62.102   267299.441
       0.321        0.000       62.102   267299.441
       0.324        0.000       62.102   267299.441
       0.327      318.400       62.102   267299.441
       0.331        0.000       62.102   267299.441
       0.334        0.000       62.102   267299.441
       0.337      256.400       62.102   267299.441
       0.341        0.000       62.102   267299.441
       0.346      306.200       62.102   267299.441
       0.349        0.000       62.102   267299.441
       0.353        0.000       62.102   267299.441
       0.356        0.000       62.102   267299.441
       0.359      318.100       62.102   267299.441
       0.362        0.000       62.102   267299.441
       0.365        0.000       62.102   267299.441
       0.368      317.100       62.102   267299.441
       0.371        0.000       62.102   267299.441
       0.375        0.000       62.102   267299.441
       0.378      318.600       62.102   267299.441
       0.381        0.000       62.102   267299.441
       0.384        0.000       62.102   267299.441
       0.387      316.900       62.102   267299.441
       0.390        0.000       62.102   267299.441
       0.393        0.000       62.102   267299.441
       0.397      317.000       62.102   267299.441
       0.400        0.000       62.102   267299.441
       0.403        0.000       62.102   267299.441
