# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       19.113   266995.559
       0.004        0.000       19.113   266995.559
       0.007        0.000       20.453   267079.645
       0.010      325.500       22.895   267079.750
       0.013        0.000       25.652   267082.871
       0.016        0.000       29.035   267117.602
       0.019        0.000       33.266   267122.047
       0.022      327.100       35.191   267122.168
       0.025        0.000       36.125   267122.492
       0.028        0.000       36.973   267122.590
       0.032      328.700       38.277   267123.695
       0.035      322.800       39.461   267123.695
       0.038        0.000       40.383   267125.016
       0.041        0.000       40.383   267125.016
       0.044        0.000       41.137   267125.105
       0.047      329.500       41.910   267125.191
       0.050        0.000       43.562   267126.332
       0.053        0.000       45.188   267127.250
       0.056        0.000       46.406   267128.023
       0.059      329.700       47.848   267128.988
       0.062        0.000       48.348   267128.984
       0.065        0.000       49.309   267209.125
       0.068      328.600       49.559   267209.125
       0.071        0.000       50.117   267209.242
       0.075        0.000       51.734   267210.320
       0.078        0.000       52.895   267290.762
       0.081      310.300       53.020   267290.762
       0.084        0.000       53.270   267290.762
       0.087        0.000       53.395   267290.762
       0.090      324.800       55.152   267293.195
       0.093        0.000       56.699   267293.406
       0.097        0.000       57.410   267293.598
       0.100        0.000       61.320   267299.332
       0.103        0.000       61.754   267299.332
       0.106      325.500       61.754   267299.332
       0.109        0.000       61.754   267299.332
       0.112        0.000       61.754   267299.332
       0.115        0.000       61.754   267299.332
       0.118      329.300       61.754   267299.332
       0.121        0.000       61.754   267299.332
       0.124        0.000       61.754   267299.332
       0.127      329.700       61.754   267299.332
       0.130        0.000       61.754   267299.332
       0.133        0.000       61.754   267299.332
       0.136      326.500       61.754   267299.332
       0.139        0.000       61.754   267299.332
       0.142        0.000       61.754   267299.332
       0.145      325.400       61.754   267299.332
       0.149        0.000       61.754   267299.332
       0.152        0.000       61.754   267299.332
       0.155        0.000       61.754   267299.332
       0.158      326.100       61.754   267299.332
       0.161        0.000       61.754   267299.332
       0.164        0.000       61.754   267299.332
       0.167      328.700       61.754   267299.332
       0.170        0.000       61.754   267299.332
       0.173        0.000       61.754   267299.332
       0.176      286.300       61.754   267299.332
       0.179        0.000       61.754   267299.332
       0.183        0.000       61.754   267299.332
       0.186      327.200       61.754   267299.332
       0.189        0.000       61.754   267299.332
       0.192        0.000       61.754   267299.332
       0.195        0.000       61.754   267299.332
       0.198      325.600       61.754   267299.332
       0.201        0.000       61.754   267299.332
       0.204        0.000       61.754   267299.332
       0.207      324.700       61.754   267299.328
       0.210        0.000       61.879   267299.328
       0.213      316.200       61.879   267299.328
       0.217        0.000       61.879   267299.328
       0.220        0.000       61.879   267299.328
       0.223        0.000       61.879   267299.328
       0.226      324.900       61.879   267299.328
       0.229        0.000       61.879   267299.328
       0.232        0.000       61.879   267299.328
       0.235      324.800       61.879   267299.328
       0.238        0.000       61.879   267299.328
       0.241        0.000       61.879   267299.328
       0.244      323.800       61.879   267299.328
       0.247        0.000       61.879   267299.328
       0.250        0.000       61.879   267299.328
       0.254      327.300       61.879   267299.328
       0.257        0.000       61.879   267299.328
       0.260        0.000       61.879   267299.328
       0.263        0.000       61.879   267299.328
       0.266      329.300       61.879   267299.328
       0.269        0.000       61.879   267299.328
       0.272        0.000       61.879   267299.328
       0.275      328.400       61.879   267299.328
       0.278        0.000       61.879   267299.328
       0.281        0.000       61.879   267299.328
       0.284      319.600       61.879   267299.328
       0.287        0.000       61.879   267299.328
       0.290        0.000       61.879   267299.328
       0.293      321.800       61.879   267299.328
       0.297        0.000       61.879   267299.328
       0.300        0.000       61.879   267299.328
       0.303        0.000       61.879   267299.328
       0.306      325.200       61.879   267299.328
       0.309        0.000       61.879   267299.328
       0.312        0.000       61.879   267299.328
       0.315      324.000       61.879   267299.328
       0.318        0.000       62.035   267299.328
       0.322        0.000       62.789   267299.883
       0.325      324.700       62.973   267299.883
       0.328        0.000       63.223   267299.883
       0.331        0.000       63.348   267300.012
       0.334        0.000       63.598   267300.016
       0.337      327.800       63.598   267300.016
       0.340        0.000       63.598   267300.016
       0.343        0.000       63.598   267300.016
       0.346      320.700       63.598   267300.020
       0.349        0.000       63.848   267300.176
       0.352        0.000       63.973   267300.180
       0.355      325.200       63.973   267300.180
       0.359        0.000       63.973   267300.180
       0.362        0.000       63.973   267300.180
       0.365      326.800       63.973   267300.180
       0.368        0.000       64.098   267300.184
       0.371        0.000       64.223   267300.176
       0.374        0.000       64.223   267300.176
       0.377      326.600       64.223   267300.176
       0.380        0.000       64.223   267300.176
       0.383        0.000       64.348   267300.172
       0.386      579.200       65.828   267525.594
       0.390      178.900       67.082   267766.473
       0.395      188.300       71.242   267773.656
       0.401      177.500       72.160   267853.746
       0.406      340.100       76.898   267942.816
       0.412      186.800       78.016   267942.801
       0.418        0.000       79.082   268007.125
       0.423      332.400       80.383   268087.148
       0.429      173.900       80.941   268247.188
       0.435      347.500       81.957   268247.453
       0.440      323.300       83.410   268248.664
       0.447      173.100       84.539   268249.125
       0.452      319.300       84.664   268249.129
       0.455        0.000       84.973   268249.141
       0.459      316.400       85.223   268249.137
       0.462      323.600       87.547   268251.598
       0.465      308.300       87.824   268251.598
       0.468        0.000       88.324   268251.602
       0.473      320.400       88.699   268251.598
       0.476        0.000       88.824   268251.598
       0.479      315.300       89.508   268251.598
       0.482      203.900       90.703   268253.312
       0.487      164.000       91.203   268253.312
       0.493      165.500       91.844   268253.320
       0.499        0.000       92.844   268253.320
       0.504      185.000       93.844   268253.320
       0.510        0.000       94.219   268333.340
       0.515      172.900       95.891   268333.379
       0.521        0.000       96.535   268333.375
       0.527      168.000       96.910   268333.379
       0.533        0.000       97.320   268333.383
       0.536      312.400       98.293   268334.480
       0.539      322.900       99.527   268335.766
       0.542        0.000       99.027   268334.480
       0.546        0.000       99.152   268334.484
       0.549        0.000       99.277   268334.484
       0.552      324.200       99.277   268334.484
       0.555        0.000       99.809   268334.594
       0.558        0.000      100.203   268334.590
       0.561      320.600      100.703   268334.590
       0.564        0.000      101.078   268334.590
       0.567        0.000      101.203   268334.590
       0.570        0.000      101.328   268334.594
       0.573      326.500      101.578   268334.590
       0.577        0.000      101.828   268334.598
       0.580        0.000      101.828   268334.594
       0.583        0.000      101.953   268334.602
       0.586      308.400      102.086   268334.598
       0.589        0.000      102.211   268334.602
       0.592        0.000      102.211   268334.602
       0.595      302.700      102.461   268334.598
       0.599        0.000      103.086   268334.598
       0.604      315.400      103.211   268334.602
       0.607        0.000      103.336   268334.598
       0.610        0.000      103.836   268334.594
       0.613      325.100      103.961   268350.598
       0.616      258.900      104.336   268494.641
       0.620        0.000      104.461   268494.641
       0.623      197.300      104.961   268494.641
       0.629        0.000      107.375   268497.797
       0.634      177.900      109.688   268500.254
       0.639        0.000      110.082   268500.258
       0.645        0.000      110.207   268500.254
       0.650      351.800      110.582   268500.254
       0.656        0.000      110.832   268500.254
       0.661      366.900      111.082   268580.277
       0.667        0.000      111.582   268580.281
       0.672      365.500      112.082   268580.273
       0.678      161.300      112.707   268660.293
       0.684        0.000      130.059   268690.660
       0.690      154.000      140.590   537796.656
       0.696      267.000      156.590  1069616.203
       0.708      346.000      160.516  1069700.402
       0.719      183.100      171.008  1069712.398
       0.730      253.600      179.691  1069851.383
       0.742      353.300      188.727  1069920.703
       0.753      318.600      205.801  1069957.941
       0.766      333.100      213.180  1070057.473
       0.778      352.800      221.484  1070093.730
       0.792      314.100      228.984  1070098.312
       0.806      209.300      232.598  1070178.520
       0.819      161.200      237.336  1070259.320
       0.831      411.300      245.230  1070422.688
       0.843      477.800      250.805  1070425.582
       0.856      175.900      254.359  1070729.543
       0.867      459.100      256.164  1070729.578
       0.874      256.900      258.875  1070809.719
       0.882      397.200      260.676  1070889.926
       0.889      398.100      264.164  1070892.852
